CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
200.17.202.35;54113;1745522890435577999;1745522890443544832;651212;11
200.17.202.35;54113;1745522890535566800;1745522890543599872;651213;11
200.17.202.35;54113;1745522890635577591;1745522890643764480;651214;11
200.17.202.35;54113;1745522890735574382;1745522890743781888;651215;11
200.17.202.35;54113;1745522890835576933;1745522890843765248;651216;11
200.17.202.35;54113;1745522890935570664;1745522890943635200;651217;11
200.17.202.35;54113;1745522891035570535;1745522891043512576;651218;11
200.17.202.35;54113;1745522891135569436;1745522891143646208;651219;11
200.17.202.35;54113;1745522891235582087;1745522891243632384;651220;11
200.17.202.35;54113;1745522891335581998;1745522891343723264;651221;11
200.17.202.35;54113;1745522891435599369;1745522891443747840;651222;11
200.17.202.35;54113;1745522891535592340;1745522891543761408;651223;11
200.17.202.35;54113;1745522891635587101;1745522891643743488;651224;11
200.17.202.35;54113;1745522891735592762;1745522891743770368;651225;11
200.17.202.35;54113;1745522891835587233;1745522891843698688;651226;11
200.17.202.35;54113;1745522891935590844;1745522891943850496;651227;11
200.17.202.35;54113;1745522892035588575;1745522892043838976;651228;11
200.17.202.35;54113;1745522892135589736;1745522892143728896;651229;11
200.17.202.35;54113;1745522892235584037;1745522892243750144;651230;11
200.17.202.35;54113;1745522892335587057;1745522892343612672;651231;11
200.17.202.35;54113;1745522892435593608;1745522892444036352;651232;11
200.17.202.35;54113;1745522892535582899;1745522892543663360;651233;11
200.17.202.35;54113;1745522892635583970;1745522892643752704;651234;11
200.17.202.35;54113;1745522892735589561;1745522892743730176;651235;11
200.17.202.35;54113;1745522892835582781;1745522892843755776;651236;11
200.17.202.35;54113;1745522892935592682;1745522892943829248;651237;11
200.17.202.35;54113;1745522893035581813;1745522893043770368;651238;11
200.17.202.35;54113;1745522893135579374;1745522893143741952;651239;11
200.17.202.35;54113;1745522893235588505;1745522893243735040;651240;11
200.17.202.35;54113;1745522893335592224;1745522893343808000;651241;11
200.17.202.35;54113;1745522893435589525;1745522893443805696;651242;11
200.17.202.35;54113;1745522893535589946;1745522893543742720;651243;11
200.17.202.35;54113;1745522893635580726;1745522893643686656;651244;11
200.17.202.35;54113;1745522893735586537;1745522893743626496;651245;11
200.17.202.35;54113;1745522893835591118;1745522893843755008;651246;11
200.17.202.35;54113;1745522893935596498;1745522893943884288;651247;11
200.17.202.35;54113;1745522894035585949;1745522894043796992;651248;11
200.17.202.35;54113;1745522894135587429;1745522894143805952;651249;11
200.17.202.35;54113;1745522894236079864;1745522894244331264;651250;11
200.17.202.35;54113;1745522894335579911;1745522894343605760;651251;11
200.17.202.35;54113;1745522894435577201;1745522894443705344;651252;11
200.17.202.35;54113;1745522894535592542;1745522894543734272;651253;11
200.17.202.35;54113;1745522894635764884;1745522894643907840;651254;11
200.17.202.35;54113;1745522894747638041;1745522894756167680;651255;11
200.17.202.35;54113;1745522894835632644;1745522894843782400;651256;11
200.17.202.35;54113;1745522894935625765;1745522894943834112;651257;11
200.17.202.35;54113;1745522895035637785;1745522895043782400;651258;11
200.17.202.35;54113;1745522895135616116;1745522895143886080;651259;11
200.17.202.35;54113;1745522895235615426;1745522895243778048;651260;11
200.17.202.35;54113;1745522895335616966;1745522895343663104;651261;11
200.17.202.35;54113;1745522895435618517;1745522895443867904;651262;11
200.17.202.35;54113;1745522895535625657;1745522895543828736;651263;11
200.17.202.35;54113;1745522895635611318;1745522895643869440;651264;11
200.17.202.35;54113;1745522895735617828;1745522895743816704;651265;11
200.17.202.35;54113;1745522895835630919;1745522895843945472;651266;11
200.17.202.35;54113;1745522895935610909;1745522895943822336;651267;11
200.17.202.35;54113;1745522896035623980;1745522896043867136;651268;11
200.17.202.35;54113;1745522896135620430;1745522896143798528;651269;11
200.17.202.35;54113;1745522896235607879;1745522896243631872;651270;11
200.17.202.35;54113;1745522896335597499;1745522896343596032;651271;11
200.17.202.35;54113;1745522896435594990;1745522896443776000;651272;11
200.17.202.35;54113;1745522896535577190;1745522896543527936;651273;11
200.17.202.35;54113;1745522896635587090;1745522896643604992;651274;11
200.17.202.35;54113;1745522896735591970;1745522896743554560;651275;11
200.17.202.35;54113;1745522896835574971;1745522896843681280;651276;11
200.17.202.35;54113;1745522896935594351;1745522896943842304;651277;11
200.17.202.35;54113;1745522897035601892;1745522897043694848;651278;11
200.17.202.35;54113;1745522897135589182;1745522897143633664;651279;11
200.17.202.35;54113;1745522897235608982;1745522897243637248;651280;11
200.17.202.35;54113;1745522897335628562;1745522897343740672;651281;11
200.17.202.35;54113;1745522897435618383;1745522897444026368;651282;11
200.17.202.35;54113;1745522897535619133;1745522897543830528;651283;11
200.17.202.35;54113;1745522897635611923;1745522897643815168;651284;11
200.17.202.35;54113;1745522897735607913;1745522897743901696;651285;11
200.17.202.35;54113;1745522897835610453;1745522897843788288;651286;11
200.17.202.35;54113;1745522897935609003;1745522897943729152;651287;11
200.17.202.35;54113;1745522898035610673;1745522898043688704;651288;11
200.17.202.35;54113;1745522898135608863;1745522898143825920;651289;11
200.17.202.35;54113;1745522898235609514;1745522898243800576;651290;11
200.17.202.35;54113;1745522898335608474;1745522898343956480;651291;11
200.17.202.35;54113;1745522898435616724;1745522898443788288;651292;11
200.17.202.35;54113;1745522898535619184;1745522898543747328;651293;11
200.17.202.35;54113;1745522898635611344;1745522898643961088;651294;11
200.17.202.35;54113;1745522898735609404;1745522898743981568;651295;11
200.17.202.35;54113;1745522898835612104;1745522898843683584;651296;11
200.17.202.35;54113;1745522898935625794;1745522898943770880;651297;11
200.17.202.35;54113;1745522899035619544;1745522899043745024;651298;11
200.17.202.35;54113;1745522899135619103;1745522899143874560;651299;11
200.17.202.35;54113;1745522899235617353;1745522899243816960;651300;11
200.17.202.35;54113;1745522899335619493;1745522899343795968;651301;11
200.17.202.35;54113;1745522899435636163;1745522899443963136;651302;11
200.17.202.35;54113;1745522899535621703;1745522899543760128;651303;11
200.17.202.35;54113;1745522899635641683;1745522899644346880;651304;11
200.17.202.35;54113;1745522899735630963;1745522899743843072;651305;11
200.17.202.35;54113;1745522899835625912;1745522899843883520;651306;11
200.17.202.35;54113;1745522899935611852;1745522899943699968;651307;11
200.17.202.35;54113;1745522900035606172;1745522900043818752;651308;11
200.17.202.35;54113;1745522900135613772;1745522900143863040;651309;11
200.17.202.35;54113;1745522900235625762;1745522900243805184;651310;11
200.17.202.35;54113;1745522900335616882;1745522900343622400;651311;11
200.17.202.35;54113;1745522900435614201;1745522900443693056;651312;11
200.17.202.35;54113;1745522900535623861;1745522900543616512;651313;11
200.17.202.35;54113;1745522900635612581;1745522900643767552;651314;11
200.17.202.35;54113;1745522900735622811;1745522900743805184;651315;11
200.17.202.35;54113;1745522900835614751;1745522900844138752;651316;11
200.17.202.35;54113;1745522900935619631;1745522900943720960;651317;11
200.17.202.35;54113;1745522901035582570;1745522901043825664;651318;11
200.17.202.35;54113;1745522901135579570;1745522901143659776;651319;11
200.17.202.35;54113;1745522901235580889;1745522901243696896;651320;11
200.17.202.35;54113;1745522901335582989;1745522901343701760;651321;11
200.17.202.35;54113;1745522901435581779;1745522901443598592;651322;11
200.17.202.35;54113;1745522901535576178;1745522901543678208;651323;11
200.17.202.35;54113;1745522901635574648;1745522901643661312;651324;11
200.17.202.35;54113;1745522901735573498;1745522901743634176;651325;11
200.17.202.35;54113;1745522901835565306;1745522901843653376;651326;11
200.17.202.35;54113;1745522901935566776;1745522901943597568;651327;11
200.17.202.35;54113;1745522902035550536;1745522902043766528;651328;11
200.17.202.35;54113;1745522902135552535;1745522902143653120;651329;11
200.17.202.35;54113;1745522902235550704;1745522902243553536;651330;11
200.17.202.35;54113;1745522902335554014;1745522902343627008;651331;11
200.17.202.35;54113;1745522902435562134;1745522902443631872;651332;11
200.17.202.35;54113;1745522902535552703;1745522902543598592;651333;11
200.17.202.35;54113;1745522902635565273;1745522902643736576;651334;11
200.17.202.35;54113;1745522902735568343;1745522902743800064;651335;11
200.17.202.35;54113;1745522902835560952;1745522902843724544;651336;11
200.17.202.35;54113;1745522902935568892;1745522902943648000;651337;11
200.17.202.35;54113;1745522903035562991;1745522903043731200;651338;11
200.17.202.35;54113;1745522903135563170;1745522903143727360;651339;11
200.17.202.35;54113;1745522903235558060;1745522903243711232;651340;11
200.17.202.35;54113;1745522903335553599;1745522903343700736;651341;11
200.17.202.35;54113;1745522903435555249;1745522903443788544;651342;11
200.17.202.35;54113;1745522903535552358;1745522903543700224;651343;11
200.17.202.35;54113;1745522903635565247;1745522903643686400;651344;11
200.17.202.35;54113;1745522903735557057;1745522903743650560;651345;11
200.17.202.35;54113;1745522903835558257;1745522903843746560;651346;11
200.17.202.35;54113;1745522903935558176;1745522903943458560;651347;11
200.17.202.35;54113;1745522904035556055;1745522904043622144;651348;11
200.17.202.35;54113;1745522904135562634;1745522904143735040;651349;11
200.17.202.35;54113;1745522904235575774;1745522904243804416;651350;11
200.17.202.35;54113;1745522904335555463;1745522904343510784;651351;11
200.17.202.35;54113;1745522904435568502;1745522904443857664;651352;11
200.17.202.35;54113;1745522904535565822;1745522904543665408;651353;11
200.17.202.35;54113;1745522904635558361;1745522904643638016;651354;11
200.17.202.35;54113;1745522904735564779;1745522904743692800;651355;11
200.17.202.35;54113;1745522904835561649;1745522904843593216;651356;11
200.17.202.35;54113;1745522904935567428;1745522904943845376;651357;11
200.17.202.35;54113;1745522905035607337;1745522905043749632;651358;11
