CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;MID_RANGE;MEAN_DEVIATION;PHI;TIMEOUT
200.17.202.35;54113;1745542918035647952;1745542918043618304;851488;11;99992915.2292872;74259.36134817223;1146173497;1.7455429181439084e+18
200.17.202.35;54113;1745542918135573065;1745542918143570432;851489;11;99988836.50635849;70912.14814207572;1200276888;1.7455429182438428e+18
200.17.202.35;54113;1745542918235635529;1745542918243718400;851490;11;100004749.65572263;79734.0826920192;1067477168;1.745542918344042e+18
200.17.202.35;54113;1745542918335612141;1745542918343604480;851491;11;99992882.69015037;83627.6399950806;1017778495;1.745542918443932e+18
200.17.202.35;54113;1745542918435615225;1745542918443688960;851492;11;100002042.42113534;84424.60698053602;1008171871;1.7455429185440287e+18
200.17.202.35;54113;1745542918535618728;1745542918543630592;851493;11;99996001.37902181;82023.18839601602;1037689662;1.7455429186439547e+18
200.17.202.35;54113;1745542918635619122;1745542918643601920;851494;11;99993534.04111962;76288.20745859527;1115699505;1.7455429187439007e+18
200.17.202.35;54113;1745542918735611865;1745542918743712000;851495;11;100005188.63700765;80313.98260077371;1059775806;1.7455429188440384e+18
200.17.202.35;54113;1745542918835632237;1745542918843723264;851496;11;100005796.17330688;72890.12063993097;1167715397;1.7455429189440207e+18
200.17.202.35;54113;1745542918935608151;1745542918943732992;851497;11;100006189.3559762;65994.29124524964;1289733022;1.745542919044003e+18
200.17.202.35;54113;1745542919035624875;1745542919043798528;851498;11;100012124.02037857;65329.52652310526;1302858319;1.745542919144072e+18
200.17.202.35;54113;1745542919135606965;1745542919143702528;851499;11;100001311.61834072;69608.97590865221;1222762105;1.7455429192439823e+18
200.17.202.35;54113;1745542919235636449;1745542919243752960;851500;11;100006223.65650664;67560.1164837154;1259845642;1.7455429193440294e+18
200.17.202.35;54113;1745542919335620149;1745542919343863808;851501;11;100016686.09085597;71266.5391846796;1194325130;1.7455429194441656e+18
200.17.202.35;54113;1745542919435631151;1745542919443711744;851502;11;99999811.08177038;81014.89435180873;1050615696;1.7455429195440356e+18
200.17.202.35;54113;1745542919535611763;1745542919543704320;851503;11;99999087.57359333;73636.9130936654;1155882513;1.745542919643998e+18
200.17.202.35;54113;1745542919635632336;1745542919643738880;851504;11;100002634.81623401;69820.46442496552;1219065518;1.7455429197440207e+18
200.17.202.35;54113;1745542919735629650;1745542919743666176;851505;11;99995100.9346106;70372.29960586972;1209507460;1.7455429198439427e+18
200.17.202.35;54113;1745542919835613094;1745542919843693568;851506;11;99998330.04114956;66564.17618422222;1278704654;1.7455429199439583e+18
200.17.202.35;54113;1745542919935612414;1745542919943698176;851507;11;99998957.8370346;60535.554450844334;1406050100;1.7455429200439393e+18
200.17.202.35;54113;1745542920035636655;1745542920043804928;851508;11;100009737.25333114;65261.4153023001;1304233480;1.7455429201440758e+18
200.17.202.35;54113;1745542920135620038;1745542920145165056;851509;11;100144776.32799803;193774.3484389561;439254325;1.7455429202460849e+18
200.17.202.35;54113;1745542920235635007;1745542920243803648;851510;11;99994157.89519823;325015.3463948632;261884016;1.745542920345098e+18
200.17.202.35;54113;1745542920335634531;1745542920343842560;851511;11;99998633.30567841;296989.2222355543;286597689;1.745542920445029e+18
200.17.202.35;54113;1745542920435644010;1745542920443725312;851512;11;99987045.17511058;278878.4305798401;305210142;1.745542920544828e+18
200.17.202.35;54113;1745542920535616459;1745542920543771648;851513;11;99992974.25759952;256919.67001079823;331296650;1.7455429206447923e+18
200.17.202.35;54113;1745542920635623199;1745542920650735104;851514;11;100690022.43183956;928275.8772497665;91693337;1.7455429207551383e+18
200.17.202.35;54113;1745542920735626442;1745542920743844096;851515;11;99931919.3886556;1593551.3327087453;53413296;1.7455429208501501e+18
200.17.202.35;54113;1745542920835645751;1745542920843814912;851516;11;99935809.04979004;1438085.8605723106;59187655;1.745542920949503e+18
200.17.202.35;54113;1745542920935614364;1745542920943870208;851517;11;99947757.74481103;1306225.9695360756;65162561;1.745542921049043e+18
200.17.202.35;54113;1745542921035603532;1745542921043710976;851518;11;99937058.77032992;1186302.3470635707;71749947;1.7455429211483932e+18
200.17.202.35;54113;1745542921135607026;1745542921143762432;851519;11;99948498.49329692;1079111.8353242213;78877117;1.7455429212480274e+18
200.17.202.35;54113;1745542921235613263;1745542921243681280;851520;11;99945533.44396722;974165.7011214914;87374593;1.7455429213475236e+18
200.17.202.35;54113;1745542921335627067;1745542921343853824;851521;11;99968234.49957049;899450.1866126199;94632735;1.74554292144742e+18
200.17.202.35;54113;1745542921435594476;1745542921443779072;851522;11;99963935.84961344;813803.8179084068;104592200;1.7455429215469983e+18
200.17.202.35;54113;1745542921535636240;1745542921543730944;851523;11;99962729.4646521;733629.8210789105;116022591;1.745542921646628e+18
200.17.202.35;54113;1745542921635598630;1745542921643735808;851524;11;99966942.9181869;664480.2925058089;128096700;1.7455429217463606e+18
200.17.202.35;54113;1745542921735634722;1745542921743659776;851525;11;99962645.4263682;602329.7550739184;141314343;1.7455429218460316e+18
200.17.202.35;54113;1745542921835605567;1745542921843626752;851526;11;99963078.48373139;542529.8369297058;156890789;1.74554292194576e+18
200.17.202.35;54113;1745542921935615731;1745542921943621888;851527;11;99966284.23535825;491482.6048635963;173186261;1.7455429220455542e+18
200.17.202.35;54113;1745542922035593302;1745542922043607552;851528;11;99968222.21182242;444272.32084141136;191590003;1.745542922145353e+18
200.17.202.35;54113;1745542922135622734;1745542922143730176;851529;11;99983662.39064017;415285.26757502824;204963291;1.745542922245375e+18
200.17.202.35;54113;1745542922235606663;1745542922243770880;851530;11;99989366.55157617;379460.9017535085;224313850;1.7455429223452782e+18
200.17.202.35;54113;1745542922335622536;1745542922343711232;851531;11;99984465.09641856;346416.2667357744;245711430;1.7455429224450813e+18
200.17.202.35;54113;1745542922435589200;1745542922443636736;851532;11;99978568.98677671;317670.7497040529;267945781;1.745542922544886e+18
200.17.202.35;54113;1745542922535600024;1745542922543609344;851533;11;99977972.88809904;286499.7734113186;297098447;1.7455429226447334e+18
200.17.202.35;54113;1745542922635603347;1745542922643609088;851534;11;99980149.99928916;260026.90726028229;327345885;1.7455429227446292e+18
200.17.202.35;54113;1745542922735615191;1745542922743884800;851535;11;100009706.19936025;263580.41660533857;322933089;1.7455429228449487e+18
200.17.202.35;54113;1745542922835614824;1745542922843635200;851536;11;99983775.57942423;263152.9948808299;323457992;1.7455429229446715e+18
200.17.202.35;54113;1745542922935640428;1745542922943732992;851537;11;99995177.22148181;248239.33745032366;342891020;1.7455429230447212e+18
200.17.202.35;54113;1745542923035603582;1745542923043631616;851538;11;99985521.89933363;233070.7258534728;365207342;1.7455429231445494e+18
200.17.202.35;54113;1745542923135624826;1745542923143708672;851539;11;99994675.30940026;218917.0633347629;388819581;1.745542923244579e+18
200.17.202.35;54113;1745542923235571322;1745542923243598080;851540;11;99984148.57846023;207552.08794131264;410110746;1.7455429233444124e+18
200.17.202.35;54113;1745542923335635716;1745542923343547904;851541;11;99980716.1206142;190229.33699320452;447456967;1.7455429234442895e+18
200.17.202.35;54113;1745542923435630618;1745542923443852544;851542;11;100013108.50855279;203598.79123246396;418074889;1.74554292354468e+18
200.17.202.35;54113;1745542923535646792;1745542923543633152;851543;11;99989858.45769751;206488.96296449655;412223694;1.745542923644449e+18
