sequence_number,time_to_detect_ms
451339,100.16384
516679,100.113152
160701,100.0
201879,100.002048
490715,100.130048
780722,100.036096
564736,100.09216
641524,100.061952
405775,100.214016
328839,100.013056
96485,100.0
837236,100.040448
428417,100.188416
102205,100.0
692783,100.049664
328426,100.013056
805029,100.042752
434641,100.181248
17032,100.000256
435040,100.180736
524072,100.108544
133764,100.0
744107,100.039424
847296,100.039168
736531,100.040448
547410,100.099584
75533,100.0
69993,100.0
304631,100.014848
300951,100.015104
