sequence_number,time_to_detect_ms
451339,100.30464
516679,100.3904
160701,100.859136
201879,100.402176
490715,100.448768
780722,100.325376
564736,100.301056
641524,100.84864
405775,100.339456
328839,100.389888
96485,100.298752
837236,100.424192
428417,100.487168
102205,100.438528
692783,100.380416
328426,100.469504
805029,100.467968
434641,100.455424
17032,100.337664
435040,100.470784
524072,100.460544
133764,100.406528
744107,100.356096
847296,100.549888
736531,100.49024
547410,100.397056
75533,100.755712
69993,100.332032
304631,100.468736
300951,100.644608
