sequence_number,time_to_detect_ms
451339,2378.985728
516679,2379.071488
160701,104.938496
201879,118.350848
490715,2379.129856
780722,2379.006464
564736,2378.982144
641524,2379.529728
405775,2379.020544
328839,129.302528
96485,105.488384
837236,2379.10528
428417,2379.168256
102205,107.885056
692783,2379.061504
328426,129.382144
805029,2379.149056
434641,2379.136512
17032,105.579776
435040,2379.151872
524072,2379.141632
133764,105.56672
744107,2379.037184
847296,2379.230976
736531,2379.171328
547410,2379.078144
75533,108.013312
69993,106.615296
304631,126.63552
300951,126.811392
