sequence_number,time_to_detect_ms
451339,100.30464
516679,100.291328
160701,100.28032
201879,100.103936
490715,100.33664
780722,100.16512
564736,100.226304
641524,100.417024
405775,100.339456
328839,100.19712
96485,100.143104
837236,100.220928
428417,100.363776
102205,100.120576
692783,100.196864
328426,100.23552
805029,100.226304
434641,100.340992
17032,100.100864
435040,100.354816
524072,100.237312
133764,100.115456
744107,100.175616
847296,100.275712
736531,100.250112
547410,100.202496
75533,100.375552
69993,100.100352
304631,100.231936
300951,100.310528
