sequence_number,time_taken_to_correct_ms
2,1.292544
4,7.027968
6,1.848832
7,1.191168
8,0.608512
9,0.457472
10,0.316928
11,0.27008
12,0.107008
13,0.165376
14,0.090112
17,0.329984
18,0.062208
19,5.063936
21,0.25856
23,0.34432
25,0.157952
26,0.05888
28,0.249344
30,0.111104
31,0.063232
32,0.015104
33,0.103424
35,0.143616
38,0.058368
40,0.240896
42,0.018944
44,0.273664
46,0.036352
47,0.115456
49,0.196096
53,0.210688
55,0.0064
59,0.094976
61,0.00128
62,0.09728
65,0.073984
69,0.23296
71,0.129536
75,0.201984
80,0.086016
83,0.032768
86,0.109568
87,0.008192
92,0.261888
94,0.133632
95,0.038656
100,0.310016
102,0.103936
106,0.191488
109,0.046592
110,0.087808
111,0.032256
113,0.02304
114,0.070912
116,0.120064
118,0.000256
123,0.141056
125,0.236544
128,0.086016
131,0.097792
135,0.06144
137,0.066304
140,0.141568
142,0.017408
143,0.09984
145,0.237312
151,0.050176
152,0.114944
153,0.098048
157,0.043008
159,0.19712
161,0.045568
162,0.040448
163,0.0128
165,0.18304
167,0.050944
170,0.158976
172,0.132352
174,0.103936
177,0.009984
179,0.1856
182,0.146944
183,0.049152
185,0.139008
187,0.002304
188,0.196864
192,0.119296
193,0.004352
195,0.055552
198,0.03968
199,0.058624
200,0.084736
202,0.017408
203,0.056832
204,0.022784
205,0.017408
207,0.012032
209,0.02304
211,0.060928
214,0.124672
217,0.15616
219,0.012544
221,0.086016
223,0.02304
224,0.10752
225,0.017152
227,0.01664
228,0.096512
229,0.097024
231,0.013568
232,0.05888
233,0.042496
235,0.654848
238,0.280576
241,0.04992
242,0.003072
244,0.002304
246,0.0256
248,0.191488
250,0.075776
252,0.132608
254,0.146944
257,0.046592
258,0.128768
261,0.064
263,0.045824
265,0.104192
267,0.022528
268,0.092672
269,1.213952
272,0.020224
273,0.10752
275,0.020736
276,0.065024
278,0.008192
281,0.12544
283,0.094464
285,0.030208
286,0.033536
289,0.156672
291,0.059136
295,0.232448
296,0.028672
300,0.00128
301,0.131584
303,0.03328
305,0.038656
307,0.028928
310,0.076032
312,0.044544
315,0.2752
317,0.126464
321,0.04224
322,0.093696
323,0.039936
325,0.006912
326,0.015104
329,0.063488
330,0.265728
337,0.040448
338,0.041728
340,0.151808
342,0.19712
345,0.038912
346,0.013312
347,0.036096
348,0.020736
351,0.124416
352,0.083712
353,0.0064
356,0.2496
358,0.043008
360,0.074752
365,0.083712
366,0.100864
369,0.082432
372,0.027392
375,0.12544
377,0.624896
381,0.120832
383,0.076544
385,0.224512
387,0.028928
388,0.067328
391,0.130304
393,0.063488
395,0.107008
398,0.046592
399,0.039424
401,0.10368
405,0.289024
408,0.081408
410,0.195328
413,0.219392
415,0.004096
416,0.12416
417,0.031488
419,0.048128
420,0.000256
424,0.191488
426,0.045312
429,0.02304
430,0.467456
434,0.189696
437,0.036608
438,0.194304
440,0.143872
441,0.035328
443,0.038144
444,0.264704
446,0.060928
450,0.088832
452,0.00768
453,0.051712
454,0.012544
456,0.040448
457,0.00256
458,0.093952
461,0.042496
464,0.027136
466,0.140544
468,0.191488
470,0.136192
473,0.051712
474,0.029184
475,0.026112
478,0.146176
480,0.020224
481,0.0128
483,0.053248
486,0.110848
487,0.040192
490,0.053504
491,0.014848
493,0.351744
495,0.018432
497,0.16256
499,6.908928
501,0.015104
504,0.113664
506,0.115712
510,0.068608
512,0.17152
514,0.140032
516,0.236032
520,0.016384
523,0.184576
526,0.064768
527,0.126976
528,0.044032
530,0.008704
533,0.150784
535,0.03456
538,0.14592
540,0.065792
542,0.260096
545,0.166144
547,0.12032
548,0.095744
551,0.09984
552,0.151808
554,0.094976
558,0.036352
559,0.084992
560,0.100096
562,0.171776
564,0.039424
568,0.266496
571,0.267264
574,0.133632
575,0.101632
577,0.182528
579,0.130816
580,0.076544
582,0.150528
583,0.016384
585,0.118528
588,0.259072
590,0.084736
591,0.103424
592,0.016896
593,0.0064
595,0.18176
596,0.116736
598,0.193792
600,0.231168
602,0.144128
605,0.212736
608,0.12544
609,0.039424
610,0.019712
613,0.040192
616,0.084224
617,0.06656
618,0.043776
621,0.197376
623,0.150784
627,0.127488
630,0.261888
633,0.118272
635,0.101888
638,0.064512
641,0.041984
643,0.116736
644,0.035328
646,0.015104
648,0.176384
649,0.156672
652,0.252672
655,0.2176
658,0.11392
660,0.166144
663,0.057856
665,0.154368
666,0.022016
667,0.000256
669,0.16256
671,0.01664
672,0.046592
674,0.083456
675,0.000512
676,0.003584
678,0.107008
679,0.0128
682,0.163328
684,0.178176
686,0.279808
691,0.151296
692,0.000512
693,0.109312
696,0.010752
699,0.097024
700,0.045824
702,0.139264
704,0.074752
706,0.023296
707,0.108032
710,0.041728
712,0.240384
713,0.020224
715,0.027136
716,0.213504
718,0.072448
720,0.034304
722,0.174336
723,0.040448
728,0.083712
729,0.109312
731,0.11776
734,0.024576
735,0.0576
740,0.00128
741,0.0768
742,0.045568
744,0.12672
745,0.01664
748,0.120576
751,0.063232
753,0.175616
754,0.001024
756,0.08064
759,0.051456
760,0.059136
762,0.112128
763,0.142848
765,0.037888
768,0.025344
769,0.157184
771,0.17152
773,0.000512
774,0.094464
775,0.06784
777,0.050688
778,0.047872
779,0.027904
782,0.13184
784,0.045568
787,0.01792
788,0.137728
790,0.09856
793,0.03456
794,0.057856
795,0.025344
797,0.218368
799,0.08192
803,0.134912
804,0.025856
806,0.069376
808,0.08448
811,0.066048
814,0.050176
816,0.090624
818,0.11648
822,0.136704
823,0.057344
827,0.107008
828,0.037632
831,0.04224
832,0.2688
835,0.140288
838,0.015872
839,0.033536
840,0.120064
842,0.16896
846,0.11776
849,0.038144
850,0.088832
851,0.03712
853,0.137472
856,0.11648
858,0.041216
859,0.164096
865,0.191232
871,0.08064
875,0.04352
876,0.03712
878,0.005632
879,0.076032
882,0.064
884,0.161792
887,0.108544
891,0.138496
893,0.010496
894,0.007424
895,0.03584
896,0.00128
898,0.044544
899,0.019712
901,0.056832
903,0.082432
904,0.112896
907,0.130048
908,0.060416
909,0.003584
911,0.168704
912,0.04736
917,0.06272
918,0.091648
922,0.242176
926,0.0448
927,0.015104
928,0.0192
931,0.159488
933,0.233472
934,0.04352
937,0.058624
938,0.032512
940,0.217344
942,0.258816
945,0.00512
948,0.04736
950,0.035072
952,0.013568
954,0.092416
955,0.053504
957,0.013312
958,0.016128
959,0.067328
962,0.060416
964,0.000512
965,0.205824
967,0.006912
968,0.04224
971,0.21504
975,0.047616
976,0.017664
977,0.10368
978,0.020224
981,0.161792
983,0.029696
985,0.055552
987,0.002816
989,0.015616
990,0.093184
992,0.068096
993,0.32512
995,0.023552
997,0.118784
1003,0.052224
1004,0.022528
1005,0.039168
1006,0.000768
1010,0.156416
1013,0.127744
1014,0.120832
1015,0.02048
1016,0.028928
1017,0.571392
1021,0.155648
1024,0.0512
1025,0.437248
1028,0.229888
1030,0.16128
1031,0.082176
1033,0.077824
1036,0.111104
1037,0.070912
1039,0.021504
1040,0.050176
1043,0.177664
1045,0.529664
1047,0.052992
1050,0.20096
1052,0.080128
1053,0.115968
1055,0.025856
1058,0.24064
1063,0.093696
1065,0.134656
1067,0.046336
1070,0.102144
1072,0.02176
1073,0.11392
1076,0.154368
1079,0.188416
1081,0.054784
1083,0.018688
1085,0.218112
1087,0.012288
1090,0.195328
1094,0.192
1096,0.096768
1097,0.025088
1099,0.046336
1101,0.130304
1102,0.008448
1106,0.008192
1108,0.01024
1109,0.199168
1112,0.03968
1113,0.163072
1114,0.02304
1116,0.030976
1117,0.06656
1120,0.18304
1122,0.164864
1124,0.0064
1126,0.147456
1127,0.102144
1132,0.038912
1133,0.04736
1135,0.02304
1137,0.113152
1139,0.167424
1140,0.078848
1142,0.157696
1144,0.011776
1145,0.018944
1148,0.17536
1150,0.178432
1152,0.155648
1155,0.13312
1156,0.093184
1158,0.04736
1162,0.155648
1163,0.116736
1168,0.291072
1170,0.25216
1172,0.141056
1177,0.302336
1182,0.112128
1184,0.199936
1187,0.063488
1189,0.037632
1190,0.076544
1191,0.037888
1192,0.003072
1194,0.078848
1197,0.018432
1198,0.223744
1201,0.323072
1204,0.071936
1206,0.182016
1207,0.2176
1209,0.295936
1211,0.178176
1213,0.139264
1215,0.083712
1217,0.086528
1219,0.150272
1221,27.952128
1226,0.01152
1228,0.1024
1230,0.089088
1231,0.0448
1232,0.15488
1236,0.118784
1239,0.140288
1242,0.00128
1244,0.076544
1246,0.105472
1248,0.102656
1251,0.167424
1254,0.13952
1255,0.048384
1258,0.03712
1259,0.012544
1261,0.011008
1262,0.125184
1264,0.053248
1267,0.067584
1268,0.083456
1270,0.203008
1272,0.075264
1273,0.084992
1276,0.030208
1277,0.090624
1279,0.043776
1281,0.163584
1282,0.058112
1285,0.111872
1287,0.000256
1289,0.176384
1293,0.123136
1295,0.025344
1296,0.07936
1299,0.059136
1301,0.029696
1304,0.061184
1305,0.223488
1307,0.122112
1309,0.064768
1310,0.072448
1312,0.046592
1313,0.176128
1315,0.139264
1318,0.124416
1322,0.141824
1326,0.014336
1329,0.212736
1332,0.1472
1334,0.028416
1335,0.070656
1337,0.05376
1339,0.189696
1341,0.261376
1343,0.044288
1346,0.052736
1347,0.053248
1350,0.019456
1352,0.422912
1355,0.06272
1356,0.004352
1358,0.047872
1361,0.213504
1364,0.14208
1366,0.01024
1367,0.05504
1369,0.058368
1371,0.141056
1373,0.022784
1375,0.06784
1377,0.004864
1380,0.031488
1381,0.247296
1383,0.079104
1385,0.1536
1386,0.028928
1388,0.11648
1390,0.120576
1391,0.027648
1392,0.04864
1394,0.094976
1396,0.07168
1398,0.002304
1399,0.014592
1402,0.178176
1403,0.043008
1406,0.1344
1409,0.192768
1411,0.059136
1412,0.009728
1414,0.113408
1416,0.1728
1421,0.086528
1422,0.096
1423,0.083968
1425,0.01792
1426,0.037632
1429,0.099328
1431,0.061696
1435,0.007936
1437,0.095232
1439,0.174336
1441,0.18816
1446,0.210688
1448,0.01664
1450,0.04224
1452,0.17152
1456,0.418048
1458,0.260096
1460,0.075264
1462,0.122624
1464,0.02176
1466,0.139776
1467,0.160256
1470,0.120832
1473,0.076288
1477,0.105728
1480,0.008192
1481,0.069376
1482,0.069632
1484,0.006912
1485,0.101888
1487,0.032768
1491,0.039168
1493,0.05504
1494,0.146176
1496,0.010752
1498,0.12928
1501,0.012544
1502,0.092672
1503,0.029696
1505,0.097536
1506,0.066048
1507,0.04992
1509,0.008704
1512,0.137472
1516,0.186112
1519,0.012544
1520,0.3008
1522,0.248576
1523,0.203008
1524,0.005376
1527,0.128768
1530,0.156416
1535,0.00512
1536,0.136704
1538,0.028672
1539,0.021248
1542,0.028416
1545,0.02048
1546,0.13952
1549,0.091648
1551,0.012544
1554,0.311552
1556,0.068352
1559,0.080384
1560,0.071936
1561,0.038656
1564,0.02432
1569,0.234752
1571,0.123392
1573,0.298496
1576,0.190976
1579,0.102656
1581,0.009472
1582,0.020224
1583,0.022016
1585,0.055552
1586,0.075008
1589,0.071424
1590,0.200192
1592,0.20864
1593,0.033536
1595,0.194048
1598,0.19456
1599,0.104192
1601,0.11776
1603,0.128512
1605,0.32128
1607,0.000768
1608,0.04608
1611,0.034816
1612,0.120832
1614,0.219136
1616,0.260608
1618,0.019456
1620,0.11008
1622,0.0192
1624,0.264704
1626,0.262656
1629,0.0128
1631,0.176384
1633,0.28928
1636,0.016128
1638,0.020992
1640,0.088576
1641,0.02816
1644,0.264192
1648,0.090368
1649,0.008448
1650,0.010752
1652,0.03712
1653,0.031232
1654,0.184832
1656,0.00768
1657,0.056064
1658,0.021504
1660,0.067072
1662,0.180992
1664,0.206592
1667,0.065792
1668,0.070656
1670,0.073984
1672,0.050688
1675,0.039424
1676,0.069376
1679,0.03328
1681,0.150016
1684,0.002816
1685,0.105728
1689,0.010752
1690,0.04864
1692,0.04608
1693,0.077312
1694,0.069376
1697,0.108288
1698,0.035328
1700,0.010752
1701,0.058112
1703,0.08448
1705,0.092416
1706,1.553408
1708,0.084224
1709,0.055296
1710,0.082432
1712,0.225024
1716,0.009216
1719,0.072448
1720,0.025088
1722,0.082176
1726,0.157696
1727,0.163584
1730,0.152064
1732,0.1152
1734,0.2688
1736,0.036352
1737,0.086784
1739,0.060416
1740,0.067584
1743,0.12928
1744,0.03712
1746,0.117504
1748,0.078848
1750,0.095744
1752,0.115712
1754,0.088064
1755,0.02944
1757,0.054528
1758,0.11648
1759,0.03584
1761,0.1792
1763,0.089344
1764,0.02304
1766,0.036864
1767,0.227328
1771,0.021248
1772,0.052736
1774,0.054784
1776,0.073728
1779,0.07552
1781,0.141568
1782,0.027648
1784,0.010496
1786,0.061696
1789,0.15744
1791,0.077824
1794,0.057088
1795,0.051712
1799,0.081152
1801,0.042496
1802,0.297728
1804,0.046592
1805,0.073216
1809,0.050688
1811,0.037376
1813,0.418048
1815,0.09344
1820,0.000512
1822,0.216576
1823,0.003328
1826,0.035584
1827,0.045056
1830,0.232704
1831,0.14208
1834,0.003072
1836,0.204544
1838,0.077312
1840,0.110336
1841,0.0064
1844,0.287744
1846,0.050688
1849,0.303616
1851,0.140032
1856,0.280832
1858,0.21248
1860,0.224768
1862,0.096
1865,0.035328
1866,0.069888
1869,0.105472
1873,0.129536
1874,0.050176
1877,0.011776
1880,0.164352
1882,0.158208
1885,0.083712
1888,0.08064
1889,0.082944
1891,0.07296
1893,0.152064
1897,0.172544
1902,0.116224
1903,0.086784
1906,0.300032
1909,0.016384
1911,0.176896
1916,0.158976
1917,0.007168
1919,0.194048
1921,0.14208
1922,0.12288
1926,0.06016
1927,0.129792
1929,0.090624
1930,0.129536
1934,0.056064
1936,0.108544
1940,0.034048
1941,0.061952
1943,0.168192
1945,0.785408
1949,0.199424
1954,0.096768
1955,0.013568
1956,0.003072
1957,0.009984
1961,0.014592
1964,0.150016
1968,0.093952
1969,0.067328
1971,0.005632
1972,0.006656
1973,0.224768
1977,0.099584
1979,0.188672
1980,0.041728
1981,0.061952
1984,0.117504
1985,0.001536
1987,0.04864
1989,0.004864
1990,0.013568
1993,0.116224
1994,0.054784
1996,0.053504
1999,0.146944
2001,0.072192
2002,0.15232
2005,0.026368
2007,0.24704
2009,0.034816
2010,0.068096
2013,0.17664
2015,0.246528
2018,0.033792
2019,0.01536
2022,0.123904
2023,0.0448
2025,0.054016
2026,0.01664
2028,0.157952
2030,0.207872
2035,0.009472
2036,0.088064
2040,0.205568
2042,0.019712
2043,0.0448
2045,0.017408
2046,0.171264
2048,0.191744
2050,0.036352
2052,0.003584
2053,0.162816
2054,0.006656
2057,0.081152
2059,0.061952
2060,0.001792
2061,0.016128
2063,0.360704
2066,0.02816
2069,0.026624
2070,0.190208
2074,0.264192
2076,0.100864
2078,0.174592
2079,0.051968
2083,0.13184
2084,0.089344
2087,0.010496
2088,0.232448
2092,0.04992
2094,0.175872
2097,0.11776
2099,0.002048
2101,0.023552
2103,0.054272
2104,0.0256
2105,0.011264
2107,0.07296
2108,0.087552
2109,0.07936
2112,0.154624
2113,0.018688
2115,0.086784
2117,0.226304
2119,0.014848
2120,0.00512
2121,0.173056
2123,0.147456
2124,0.005376
2126,0.031744
2129,0.315648
2130,0.00256
2132,0.128768
2134,0.076288
2137,0.019968
2139,0.00896
2140,0.0064
2141,0.081152
2143,0.120064
2144,0.047616
2146,0.0832
2149,0.16896
2150,0.02944
