sequence_number,time_taken_to_correct_ms
2,1.292544
3,0.710656
4,8.059648
19,2.04928
235,0.268544
269,0.835072
377,0.3456
430,0.150016
493,0.075008
499,6.427904
993,0.022016
1017,0.241664
1045,0.066816
1221,27.321856
1352,0.082176
1456,0.02944
1520,0.016128
1554,0.045568
1569,0.00512
1706,1.242112
1802,0.02816
1813,0.092928
1945,0.422144
2063,0.070144
2289,0.32768
2299,0.24704
2404,0.622592
2499,0.781824
2702,0.022016
2733,0.049408
2753,0.023296
2817,0.589824
2893,4.288256
2913,0.730112
3180,0.534016
3183,0.628736
3431,0.56704
3494,0.073216
3498,0.751616
3991,0.044544
4044,2.577152
4093,0.918528
4106,2.233344
4433,0.091392
4704,0.012544
4706,0.95872
5043,0.890368
5246,0.03712
5297,0.800256
5456,0.028928
5894,6.765824
5897,2.935296
6112,0.031488
6248,0.251648
6320,0.040192
6368,0.014336
6417,3.296512
6500,0.43008
6507,5.720832
6845,0.390656
6987,0.690944
7058,0.044288
7093,1.82784
7105,0.625152
7111,1.672704
7462,0.018432
7670,1.239808
7671,1.490432
7705,3.444992
7830,0.05632
7859,1.932032
8103,0.7424
8293,6.4448
8298,4.165888
8307,1.987584
8435,1.987328
8522,0.974848
8589,0.095744
8597,0.144896
8784,0.73344
8868,0.036352
8896,6.608896
9004,0.070912
9113,0.004096
9438,0.0512
9493,3.917312
9507,0.5568
9730,0.043008
10032,0.07936
10093,1.026816
10097,9.11872
10351,0.151808
10506,0.071936
10693,0.508416
10759,0.187904
10861,0.023296
11088,0.0832
11342,0.006656
11346,0.639488
11744,1.249024
11794,0.009728
11886,0.15104
11893,16.217856
12423,0.876288
12612,0.006144
12769,0.804608
12869,0.0384
12888,0.016384
13046,0.178432
13106,2.886144
13265,0.03968
13297,0.0448
13501,0.042752
13700,1.088
13865,11.92704
13975,0.037888
14148,0.776704
14300,0.540416
14325,0.02048
14477,4.03968
14538,19.572224
14685,0.033792
14723,0.419072
14890,0.67968
14906,1.69344
14962,6.91456
15493,2.636032
15494,1.36576
15512,1.937152
16094,0.866048
16111,0.659968
16204,0.018176
16706,2.0544
17306,6.322688
17556,0.008704
17893,0.491008
18026,0.109568
18494,0.192256
18533,0.22144
18560,0.070656
19097,9.719552
19140,24.917248
19694,1.392896
19706,0.313088
20174,0.12544
20307,1.241088
20402,0.073984
20883,0.070656
20898,0.146944
20906,2.579456
21184,0.57472
21401,0.107008
21885,0.54272
21933,2.144768
22848,0.720384
22929,0.094976
23039,0.046592
23174,0.111104
23292,0.041728
23294,2.490624
23536,0.13568
23759,0.042752
23897,9.875712
23911,0.262912
23992,0.050176
23995,0.064512
24126,2.738688
24493,23.259904
24565,0.384768
24566,1.18272
24608,0.269056
24712,0.016128
25096,6.617088
25184,0.021504
25348,0.868352
25582,0.069376
25869,0.700928
26158,0.041728
26240,1.417472
26293,0.861184
26297,17.339392
26543,0.68096
26596,2.12992
26820,0.029184
26894,1.036288
26905,1.783296
27035,0.166912
27080,3.5136
27359,0.000768
27493,0.3328
27494,1.871104
27506,0.213504
28137,0.005376
28143,0.278784
28358,0.029184
28693,0.69632
28694,1.29792
28697,4.279296
28871,0.086784
29191,0.128768
29294,0.461056
29832,4.409344
29893,8.331776
30224,0.13568
30422,2.391808
30496,5.840896
30566,36.872704
30663,16.232448
30775,7.153152
31096,6.373376
31098,11.288064
31386,0.028416
31452,0.026112
31693,1.63456
31709,5.662464
31741,5.69216
31781,0.469504
32161,0.003072
32180,0.002048
32295,0.193792
32385,0.008192
32504,0.495872
33153,18.30272
33397,0.099584
33405,0.027648
33493,0.190464
33497,0.318464
33498,4.354816
33575,0.047872
33669,0.058624
34189,0.00896
34204,8.259328
34239,0.6016
34505,0.072704
34858,1.249536
35074,0.461056
35078,0.111872
35164,0.030976
35184,0.059392
35255,1.433088
35293,0.25472
35305,0.021248
35424,0.599296
35598,16.694784
35893,0.637952
35906,0.438528
35993,0.018944
36388,0.017408
36497,9.759744
36507,2.806528
36529,2.593536
36630,7.04384
36640,0.322048
36726,1.448448
36781,2.49472
37042,0.004608
37106,1.435392
37308,0.010752
37859,16.499456
37930,0.052224
38183,0.207616
38607,0.193792
38697,16.60672
38754,0.017408
38907,0.375552
38910,0.696832
38989,0.018688
39396,0.0384
39446,0.075264
39497,2.171648
39875,0.042752
40093,0.622848
40624,3.829248
40705,0.739584
40823,0.026624
41084,0.039424
41194,18.499072
41293,0.71168
41894,2.63936
42323,0.009984
42350,0.31744
42493,8.388608
42750,0.032
43251,0.016896
43261,0.031744
43379,0.154368
43488,0.01024
43526,0.042752
43693,1.128192
43695,5.921024
43763,0.066048
43866,7.53152
44036,0.700672
44206,0.00128
44307,0.118272
44308,7.228928
44370,1.876992
44539,1.038592
44897,9.819904
45037,10.181376
45125,5.166848
45166,0.344576
45299,0.003584
45353,1.131264
45430,0.011008
45493,0.946688
45671,19.22432
45880,0.015104
46093,8.701952
46345,0.824576
46697,0.773888
47115,6.937856
47229,0.673536
47293,1.444096
47299,0.996608
47305,0.713472
47622,0.061696
47849,0.712704
47899,1.621248
47911,4.37376
48034,0.052224
48272,0.022272
48365,0.007424
48493,0.727808
48704,0.100352
48771,0.043264
48812,0.31488
49094,2.279936
49631,1.935872
49693,2.166272
49736,0.030208
49752,1.481728
49870,9.326336
49975,0.03968
50294,0.140032
50298,1.903616
50311,0.847872
50360,0.073472
50506,0.036352
50561,0.01408
50777,1.798912
50806,4.681728
50896,6.580736
50908,1.456128
51031,0.039936
51123,0.13568
51146,0.001792
51191,0.036096
51496,1.629184
51636,1.738496
51728,1.403392
51798,0.008448
52043,0.107008
52094,0.024576
52096,5.827584
52164,0.92928
52334,0.074496
52360,0.053248
52478,1.174016
52579,0.006656
52696,6.081536
52706,0.425728
52925,0.044032
52950,0.204544
53192,4.527616
53307,0.710912
53893,1.61536
54045,0.039424
54247,0.010496
54393,0.046848
54494,3.619328
54623,0.09472
55093,1.126144
55106,1.20064
55694,1.854976
55706,1.705472
55756,16.840192
55810,0.044544
55817,0.320256
55869,6.764544
55991,0.12032
56293,8.689664
56306,6.30656
56398,0.003584
56714,1.0624
56897,17.818112
57199,0.024576
57493,23.978496
57688,0.0448
58037,16.497408
58099,0.579072
58413,0.846592
58693,0.428544
58696,5.893888
58753,0.009984
58848,6.290688
59396,0.262656
59634,0.063232
59660,0.029952
59864,0.039424
59894,1.977856
60091,0.006656
60292,0.035072
60393,0.083968
61094,1.9584
61111,3.22176
61438,7.72352
61644,0.051712
61693,4.950784
