sequence_number,time_taken_to_correct_ms
2,1.292544
4,6.767104
19,0.209152
499,4.751104
1221,25.3376
5894,2.44608
6507,1.58848
8293,2.566912
8298,0.419072
8896,3.19488
9493,0.525056
10097,6.013184
11893,12.82176
13865,7.588352
14538,14.908416
14962,1.226496
17306,1.080576
19097,4.893696
19140,20.08448
23897,3.517952
24493,17.186048
26297,10.15424
29893,0.849664
30566,30.053888
30663,7.090176
31098,2.351104
33153,10.024192
35598,8.241664
36497,1.327872
37859,8.777984
38697,8.77952
41194,10.57664
42493,0.200704
43866,0.142336
44308,0.56448
44897,3.765504
45037,4.35584
45671,13.545728
46093,2.236672
47115,0.895488
49870,3.798528
50896,1.225984
52096,0.88576
52696,1.545216
53192,0.290304
55756,12.997632
55869,2.006528
56293,4.206848
56306,1.851392
56897,13.623296
57493,18.840832
58037,9.989376
61438,0.867328
62294,0.533504
63338,5.9456
63380,21.15328
64093,1.208064
65293,16.334336
66497,0.278528
67097,0.347136
67446,11.64672
69493,1.879808
71893,18.03904
75493,5.444864
78711,0.59008
78713,4.897024
79093,1.681664
79105,15.488512
79179,10.450944
81195,0.175872
81433,0.553216
83695,3.339264
84507,2.063872
85745,0.05632
89297,3.510016
92298,1.999872
92893,11.618304
95648,5.776384
97881,12.571392
98293,2.608384
99493,22.497536
100610,8.892928
104893,0.368384
106697,1.531136
109093,9.631488
110779,19.42784
115097,1.618176
118093,1.013248
119297,1.922048
121693,1.850368
121888,0.004608
122893,2.866176
123625,11.550464
124093,2.667008
124296,10.123264
125293,2.339072
127097,0.156672
127693,3.216896
128893,18.934016
129720,0.347904
131296,1.476864
134293,3.03488
136584,1.629952
137296,1.57952
137897,11.648768
138493,3.197952
139693,19.09632
140297,0.69632
142093,2.364672
143293,2.702336
143907,2.294784
144493,2.120192
146422,1.377536
146893,11.62368
148099,0.359936
149296,3.124224
149875,8.48128
150498,0.158976
154097,1.662208
154107,1.152
155132,11.143424
155899,4.619776
157097,0.116224
161227,3.26784
161228,4.091904
161859,3.286016
161860,6.560256
162497,10.534144
164293,2.975232
167296,2.416896
167440,3.981824
167893,22.97984
169693,9.069056
170893,1.177088
172195,6.131712
172574,18.276608
175693,0.1408
177493,0.841984
178697,10.527488
179293,18.494976
181093,18.38336
185410,7.829248
185733,46.700288
186022,22.825216
186127,41.230336
188333,6.268672
190697,0.609024
192361,11.954432
193093,1.105152
194293,13.513472
195670,3.3536
198204,87.281152
199093,7.369984
202693,7.899904
205439,86.6368
208019,74.976512
208617,71.355136
208817,6.4256
217742,4.443648
224256,71.76192
247361,0.617984
273553,1.3056
275536,72.699904
275544,28.109312
275608,41.473792
275616,12.161792
276404,69.870592
289139,2.209792
290721,12.279808
299471,2.153984
310795,1.486336
313301,75.836672
330535,8.190208
349741,10.443776
351712,74.818304
357019,54.300928
359840,66.699008
372137,22462.914048
