sequence_number,time_taken_to_correct_ms
2,1.292544
3,0.710656
4,8.059648
19,3.681536
69,0.071424
75,0.005632
92,0.142848
100,0.160768
123,0.00128
125,0.077312
145,0.047104
159,0.030976
179,0.007936
214,0.000768
217,0.021504
235,0.47232
269,1.02528
295,0.05504
315,0.147712
330,0.12928
340,0.01152
342,0.032
356,0.101376
375,0.005376
377,0.48896
405,0.124928
424,0.032256
430,0.312576
444,0.006912
466,0.027904
468,0.031488
493,0.220928
499,6.676224
542,0.04096
568,0.086272
571,0.03072
588,0.01152
621,0.018176
630,0.067328
648,0.024064
649,0.059136
652,0.041728
682,0.011264
686,0.061952
712,0.080896
716,0.026624
753,0.033792
763,0.054528
769,0.001024
797,0.06912
822,0.002304
832,0.132352
859,0.075264
865,0.040448
884,0.052224
891,0.01408
904,0.049152
911,0.014592
922,0.104448
931,0.030464
933,0.067072
940,0.039168
942,0.02816
965,0.09344
971,0.080384
981,0.018688
993,0.175872
1010,0.04736
1017,0.483584
1025,0.157952
1045,0.413696
1079,0.000256
1085,0.050688
1090,0.017408
1094,0.018176
1109,0.085248
1113,0.08832
1120,0.017664
1139,0.007168
1148,0.005632
1163,0.006912
1168,0.109824
1170,0.008192
1177,0.082688
1198,0.077056
1201,0.1216
1221,27.645952
1305,0.080896
1307,0.026624
1329,0.082432
1339,0.026112
1341,0.0512
1352,0.260352
1361,0.035072
1371,0.0576
1381,0.118528
1402,0.034048
1409,0.024064
1439,0.049408
1441,0.014592
1446,0.047616
1452,0.019456
1456,0.237312
1494,0.015872
1512,0.013568
1516,0.064
1520,0.15872
1522,0.004864
1523,0.049152
1546,0.022528
1554,0.188416
1569,0.126464
1573,0.089856
1590,0.02432
1605,0.032768
1624,0.039424
1633,0.01152
1644,0.073728
1654,0.105984
1662,0.017408
1664,0.011264
1681,0.0128
1706,1.472512
1734,0.004608
1761,0.081152
1767,0.015616
1789,0.030976
1802,0.164608
1813,0.26368
1822,0.058368
1830,0.082176
1831,0.033792
1836,0.021504
1844,0.089344
1849,0.094976
1856,0.069888
1880,0.016384
1906,0.139264
1919,0.016128
1930,0.012288
1943,0.018176
1945,0.694528
1964,0.0192
1973,0.088832
1979,0.011264
1999,0.021504
2007,0.170752
2013,0.088064
2015,0.021248
2030,0.009216
2040,0.058112
2046,0.004608
2063,0.218112
2070,0.012288
2074,0.08064
2088,0.03968
2117,0.039168
2129,0.128512
2146,0.000768
2149,0.007424
2169,0.031744
2185,0.08576
2192,0.02688
2199,0.015104
2217,0.005632
2236,0.064512
2251,0.085248
2259,0.012288
2264,0.0512
2268,0.007168
2273,0.024576
2277,0.003584
2289,0.525312
2299,0.544256
2323,0.239616
2360,0.04224
2382,0.008192
2386,0.105728
2404,0.820992
2430,0.045824
2438,0.025344
2443,0.000256
2449,0.009216
2464,0.013056
2468,0.001536
2485,0.002816
2492,0.001792
2499,0.96
2524,0.060672
2529,0.126208
2550,0.00256
2563,0.03968
2565,0.01024
2576,0.02816
2578,0.029952
2588,0.083712
2590,0.000256
2591,0.050944
2626,0.062464
2666,0.066816
2678,0.068608
2692,0.037632
2702,0.147968
2706,0.017664
2708,0.008448
2721,0.0256
2728,0.001792
2733,0.161792
2738,0.003584
2753,0.181248
2760,0.025344
2785,0.018688
2788,0.013056
2790,0.0256
2795,0.038912
2800,0.069888
2817,0.886272
2848,0.146688
2874,0.149248
2879,0.095744
2886,0.020736
2893,4.64896
2913,1.247488
2948,0.009984
2963,0.10752
2976,0.107264
3015,0.028416
3023,0.12672
3035,0.001024
3047,0.063488
3054,0.025088
3057,0.015616
3084,0.031488
3090,0.179456
3106,0.016384
3117,0.193536
3123,0.103168
3142,0.001024
3146,0.051968
3151,0.10368
3168,0.07424
3180,0.720384
3183,1.30944
3208,0.029696
3222,0.022016
3238,0.038656
3247,0.036352
3249,0.0128
3252,0.032256
3257,0.105728
3283,0.165888
3288,0.012288
3297,0.026624
3309,0.1088
3324,0.018432
3328,0.075264
3345,0.0064
3347,0.009728
3378,0.082688
3381,0.091136
3392,0.046848
3399,0.026624
3404,0.111104
3407,0.017152
3409,0.083456
3431,0.787712
3480,0.002816
3482,0.02304
3494,0.2624
3498,1.078016
3533,0.008448
3550,0.061952
3555,0.032
3567,0.006144
3577,0.079616
3588,0.01664
3605,0.020992
3615,0.145408
3629,0.027136
3642,0.060416
3689,0.0448
3691,0.110848
3700,0.07168
3722,0.024064
3724,0.036864
3734,0.031232
3744,0.206336
3768,0.056576
3776,0.055552
3791,0.025088
3826,0.014592
3853,0.0256
3858,0.006656
3861,0.007936
3873,0.007168
3884,0.028416
3887,0.047872
3891,0.056576
3901,0.020736
3911,0.0064
3919,0.173568
3925,0.013056
3932,0.062464
3945,0.051456
3954,0.004864
3977,0.005888
3991,0.202496
4006,0.033536
4013,0.064768
4016,0.06784
4021,0.033024
4027,0.097536
4029,0.068864
4032,0.014336
4044,2.797312
4064,0.02816
4084,0.182528
4093,1.424896
4098,0.502272
4106,2.870016
4161,0.091136
4172,0.022272
4195,0.013056
4213,0.001792
4217,0.06656
4225,0.091648
4234,0.095744
4243,0.162048
4256,0.028928
4280,0.083712
4292,0.122368
4303,0.053504
4309,0.034816
4337,0.03328
4370,0.047104
4380,0.062976
4388,0.04096
4422,0.01152
4427,0.018688
4428,0.027904
4433,0.274688
4466,0.019712
4472,0.010496
4480,0.068864
4488,0.146432
4493,0.0448
4496,0.047616
4503,0.104704
4510,0.004096
4523,0.026112
4533,0.030976
4536,0.025344
4547,0.006144
4560,0.055296
4572,0.050432
4577,0.050176
4587,0.003328
4599,0.121344
4601,0.185344
4634,0.014336
4654,0.0256
4676,0.061184
4678,0.02176
4683,0.025856
4689,0.001792
4696,0.01024
4699,0.055296
4704,0.200704
4706,1.35552
4729,0.034816
4742,0.063232
4746,0.05888
4778,0.023296
4801,0.061696
4806,0.118272
4809,0.003584
4811,0.002048
4823,0.169728
4854,0.026624
4864,0.043776
4866,0.050944
4870,0.03584
4883,0.02176
4891,0.021248
4903,0.026624
4913,0.034304
4920,0.014336
4921,0.132608
4942,0.008192
4944,0.089344
4953,0.068352
4972,0.241408
4976,0.0768
4984,0.044032
4997,0.020992
5000,0.039936
5012,0.116992
5021,0.08192
5032,0.052992
5043,1.060864
5062,0.009216
5076,0.013056
5086,0.015872
5096,0.01664
5112,0.158976
5131,0.040448
5144,0.007424
5150,0.107264
5159,0.019712
5171,0.0384
5174,0.073216
5184,0.01536
5191,0.057344
5195,0.013568
5216,0.030976
5226,0.041472
