CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
200.17.202.35;46335;1745775638201098576;1745775638208650240;750275;11
200.17.202.35;46335;1745775638301168426;1745775638308703744;750276;11
200.17.202.35;46335;1745775638401197056;1745775638408900352;750277;11
200.17.202.35;46335;1745775638501103142;1745775638508628224;750278;11
200.17.202.35;46335;1745775638601108766;1745775638608855296;750279;11
200.17.202.35;46335;1745775638701096466;1745775638708917504;750280;11
200.17.202.35;46335;1745775638801253217;1745775638809053440;750281;11
200.17.202.35;46335;1745775638901102645;1745775638908868608;750282;11
200.17.202.35;46335;1745775639001104857;1745775639008835840;750283;11
200.17.202.35;46335;1745775639101114187;1745775639108793600;750284;11
200.17.202.35;46335;1745775639201206698;1745775639214753792;750285;11
200.17.202.35;46335;1745775639301261241;1745775639308958720;750286;11
200.17.202.35;46335;1745775639401207802;1745775639408797696;750287;11
200.17.202.35;46335;1745775639501177046;1745775639508807680;750288;11
200.17.202.35;46335;1745775639601193111;1745775639608942336;750289;11
200.17.202.35;46335;1745775639701107513;1745775639708924416;750290;11
200.17.202.35;46335;1745775639801115025;1745775639808791808;750291;11
200.17.202.35;46335;1745775639901115595;1745775639908823552;750292;11
200.17.202.35;46335;1745775640001112664;1745775640008901120;750293;11
200.17.202.35;46335;1745775640101190931;1745775640108843008;750294;11
200.17.202.35;46335;1745775640201170092;1745775640208811264;750295;11
200.17.202.35;46335;1745775640301175058;1745775640308879616;750296;11
200.17.202.35;46335;1745775640401198078;1745775640408943360;750297;11
200.17.202.35;46335;1745775640501202382;1745775640508751872;750298;11
200.17.202.35;46335;1745775640601217702;1745775640608866304;750299;11
200.17.202.35;46335;1745775640701109741;1745775640708765952;750300;11
200.17.202.35;46335;1745775640801245592;1745775640808843520;750301;11
200.17.202.35;46335;1745775640901116718;1745775640908956672;750302;11
200.17.202.35;46335;1745775641001219448;1745775641008748288;750303;11
200.17.202.35;46335;1745775641101232786;1745775641108939008;750304;11
200.17.202.35;46335;1745775641201230236;1745775641209047552;750305;11
200.17.202.35;46335;1745775641301113303;1745775641309030912;750306;11
200.17.202.35;46335;1745775641401232744;1745775641409061632;750307;11
200.17.202.35;46335;1745775641501175172;1745775641508895232;750308;11
200.17.202.35;46335;1745775641601221493;1745775641609050112;750309;11
200.17.202.35;46335;1745775641701111194;1745775641708901376;750310;11
200.17.202.35;46335;1745775641801178914;1745775641808790272;750311;11
200.17.202.35;46335;1745775641901118772;1745775641908713984;750312;11
200.17.202.35;46335;1745775642001216713;1745775642008907520;750313;11
200.17.202.35;46335;1745775642101118960;1745775642108739328;750314;11
200.17.202.35;46335;1745775642201106090;1745775642208797952;750315;11
200.17.202.35;46335;1745775642301099521;1745775642308761344;750316;11
200.17.202.35;46335;1745775642401191531;1745775642408898560;750317;11
200.17.202.35;46335;1745775642501118772;1745775642508723712;750318;11
200.17.202.35;46335;1745775642601221185;1745775642608854272;750319;11
200.17.202.35;46335;1745775642701102253;1745775642708787968;750320;11
200.17.202.35;46335;1745775642801183883;1745775642808954624;750321;11
200.17.202.35;46335;1745775642901209743;1745775642908918272;750322;11
200.17.202.35;46335;1745775643001246811;1745775643008792320;750323;11
200.17.202.35;46335;1745775643101208991;1745775643108949248;750324;11
200.17.202.35;46335;1745775643201264923;1745775643209008896;750325;11
200.17.202.35;46335;1745775643301238483;1745775643308976896;750326;11
200.17.202.35;46335;1745775643401115892;1745775643408934912;750327;11
200.17.202.35;46335;1745775643501251515;1745775643508996352;750328;11
200.17.202.35;46335;1745775643601251585;1745775643608890112;750329;11
200.17.202.35;46335;1745775643701202534;1745775643708878592;750330;11
200.17.202.35;46335;1745775643801171996;1745775643808842240;750331;11
200.17.202.35;46335;1745775643901238938;1745775643908848640;750332;11
200.17.202.35;46335;1745775644001176058;1745775644008814848;750333;11
200.17.202.35;46335;1745775644101223118;1745775644108971008;750334;11
200.17.202.35;46335;1745775644201224811;1745775644208884736;750335;11
200.17.202.35;46335;1745775644301244492;1745775644308818432;750336;11
200.17.202.35;46335;1745775644401248492;1745775644408956160;750337;11
200.17.202.35;46335;1745775644501222982;1745775644508985344;750338;11
200.17.202.35;46335;1745775644601239496;1745775644608844032;750339;11
200.17.202.35;46335;1745775644701247275;1745775644708911104;750340;11
200.17.202.35;46335;1745775644801206325;1745775644808944640;750341;11
200.17.202.35;46335;1745775644901211874;1745775644908793088;750342;11
200.17.202.35;46335;1745775645001215239;1745775645008792320;750343;11
200.17.202.35;46335;1745775645101199631;1745775645108848128;750344;11
200.17.202.35;46335;1745775645201277991;1745775645209000704;750345;11
200.17.202.35;46335;1745775645301248981;1745775645308924416;750346;11
200.17.202.35;46335;1745775645401225274;1745775645408832256;750347;11
200.17.202.35;46335;1745775645501236872;1745775645509072640;750348;11
200.17.202.35;46335;1745775645601228590;1745775645609133056;750349;11
200.17.202.35;46335;1745775645701229080;1745775645708934144;750350;11
200.17.202.35;46335;1745775645801234130;1745775645808919296;750351;11
200.17.202.35;46335;1745775645901224040;1745775645908843520;750352;11
200.17.202.35;46335;1745775646001239148;1745775646009035008;750353;11
200.17.202.35;46335;1745775646101253468;1745775646108980224;750354;11
200.17.202.35;46335;1745775646201258902;1745775646209076480;750355;11
200.17.202.35;46335;1745775646301231215;1745775646308944128;750356;11
200.17.202.35;46335;1745775646401253278;1745775646409032960;750357;11
200.17.202.35;46335;1745775646501239925;1745775646508784384;750358;11
200.17.202.35;46335;1745775646601254738;1745775646608878592;750359;11
200.17.202.35;46335;1745775646701257218;1745775646708995840;750360;11
200.17.202.35;46335;1745775646801258633;1745775646808979200;750361;11
200.17.202.35;46335;1745775646901241313;1745775646908961792;750362;11
200.17.202.35;46335;1745775647001234223;1745775647008791808;750363;11
200.17.202.35;46335;1745775647101225982;1745775647108813824;750364;11
200.17.202.35;46335;1745775647201095842;1745775647208673536;750365;11
200.17.202.35;46335;1745775647301179652;1745775647308786944;750366;11
200.17.202.35;46335;1745775647401116083;1745775647408910592;750367;11
200.17.202.35;46335;1745775647501175963;1745775647508747264;750368;11
200.17.202.35;46335;1745775647601163792;1745775647608821760;750369;11
200.17.202.35;46335;1745775647701176582;1745775647708914944;750370;11
200.17.202.35;46335;1745775647801105507;1745775647808815872;750371;11
200.17.202.35;46335;1745775647901189006;1745775647908856832;750372;11
200.17.202.35;46335;1745775648001109635;1745775648008699648;750373;11
200.17.202.35;46335;1745775648101173787;1745775648108803584;750374;11
200.17.202.35;46335;1745775648201180499;1745775648208782592;750375;11
200.17.202.35;46335;1745775648301190429;1745775648308788736;750376;11
200.17.202.35;46335;1745775648401185368;1745775648408858368;750377;11
