CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
200.17.202.35;46335;1745725611201183290;1745725611209200384;250005;11
200.17.202.35;46335;1745725611301189762;1745725611309070848;250006;11
200.17.202.35;46335;1745725611401138893;1745725611408987904;250007;11
200.17.202.35;46335;1745725611501186576;1745725611509100288;250008;11
200.17.202.35;46335;1745725611601136747;1745725611609064192;250009;11
200.17.202.35;46335;1745725611701185909;1745725611708980992;250010;11
200.17.202.35;46335;1745725611801112291;1745725611808892416;250011;11
200.17.202.35;46335;1745725611901225684;1745725611909089280;250012;11
200.17.202.35;46335;1745725612001146615;1745725612009072640;250013;11
200.17.202.35;46335;1745725612101224467;1745725612109243392;250014;11
200.17.202.35;46335;1745725612201158839;1745725612208988160;250015;11
200.17.202.35;46335;1745725612301222301;1745725612309067264;250016;11
200.17.202.35;46335;1745725612401197423;1745725612408986624;250017;11
200.17.202.35;46335;1745725612501202975;1745725612509066240;250018;11
200.17.202.35;46335;1745725612601205537;1745725612609149696;250019;11
200.17.202.35;46335;1745725612701192949;1745725612709108224;250020;11
200.17.202.35;46335;1745725612801214091;1745725612808956416;250021;11
200.17.202.35;46335;1745725612901266263;1745725612909216256;250022;11
200.17.202.35;46335;1745725613001186504;1745725613008954880;250023;11
200.17.202.35;46335;1745725613101173836;1745725613109005824;250024;11
200.17.202.35;46335;1745725613201168428;1745725613209010176;250025;11
200.17.202.35;46335;1745725613301193120;1745725613308963584;250026;11
200.17.202.35;46335;1745725613401176151;1745725613409086720;250027;11
200.17.202.35;46335;1745725613501169783;1745725613508946432;250028;11
200.17.202.35;46335;1745725613601178235;1745725613609008384;250029;11
200.17.202.35;46335;1745725613701161266;1745725613709007872;250030;11
200.17.202.35;46335;1745725613801213738;1745725613809181440;250031;11
200.17.202.35;46335;1745725613901188880;1745725613909108224;250032;11
200.17.202.35;46335;1745725614001216982;1745725614009175040;250033;11
200.17.202.35;46335;1745725614101194133;1745725614109110016;250034;11
200.17.202.35;46335;1745725614201167405;1745725614208994560;250035;11
200.17.202.35;46335;1745725614301168717;1745725614309128192;250036;11
200.17.202.35;46335;1745725614401188869;1745725614409129216;250037;11
200.17.202.35;46335;1745725614501187222;1745725614509038848;250038;11
200.17.202.35;46335;1745725614601163144;1745725614608997888;250039;11
200.17.202.35;46335;1745725614701161056;1745725614708885760;250040;11
200.17.202.35;46335;1745725614801189668;1745725614809027328;250041;11
200.17.202.35;46335;1745725614901188620;1745725614909042176;250042;11
200.17.202.35;46335;1745725615001192592;1745725615008921856;250043;11
200.17.202.35;46335;1745725615101162013;1745725615109080576;250044;11
200.17.202.35;46335;1745725615201221785;1745725615209200128;250045;11
200.17.202.35;46335;1745725615301196917;1745725615309053952;250046;11
200.17.202.35;46335;1745725615401224409;1745725615409101312;250047;11
200.17.202.35;46335;1745725615501154710;1745725615508905472;250048;11
200.17.202.35;46335;1745725615601209642;1745725615609135104;250049;11
200.17.202.35;46335;1745725615701169864;1745725615708951296;250050;11
200.17.202.35;46335;1745725615801157786;1745725615808910080;250051;11
200.17.202.35;46335;1745725615901176918;1745725615909109248;250052;11
200.17.202.35;46335;1745725616001210410;1745725616009083392;250053;11
200.17.202.35;46335;1745725616101185921;1745725616109007360;250054;11
200.17.202.35;46335;1745725616201178733;1745725616208959744;250055;11
200.17.202.35;46335;1745725616301164205;1745725616309063680;250056;11
200.17.202.35;46335;1745725616401243341;1745725616409054976;250057;11
200.17.202.35;46335;1745725616501145382;1745725616509100032;250058;11
200.17.202.35;46335;1745725616601164244;1745725616609084416;250059;11
200.17.202.35;46335;1745725616701156975;1745725616709015552;250060;11
200.17.202.35;46335;1745725616801172147;1745725616809033728;250061;11
200.17.202.35;46335;1745725616901148819;1745725616908964352;250062;11
200.17.202.35;46335;1745725617001174181;1745725617009079040;250063;11
200.17.202.35;46335;1745725617101182473;1745725617109069056;250064;11
200.17.202.35;46335;1745725617201160634;1745725617208992000;250065;11
200.17.202.35;46335;1745725617301213306;1745725617309022464;250066;11
200.17.202.35;46335;1745725617401174008;1745725617408924416;250067;11
200.17.202.35;46335;1745725617501126930;1745725617508976896;250068;11
200.17.202.35;46335;1745725617601184122;1745725617609025536;250069;11
200.17.202.35;46335;1745725617701195644;1745725617709126144;250070;11
200.17.202.35;46335;1745725617801198125;1745725617808996096;250071;11
200.17.202.35;46335;1745725617901211467;1745725617909088256;250072;11
200.17.202.35;46335;1745725618001192039;1745725618009021440;250073;11
200.17.202.35;46335;1745725618101215821;1745725618109211136;250074;11
200.17.202.35;46335;1745725618201337573;1745725618209246976;250075;11
200.17.202.35;46335;1745725618301195014;1745725618309315072;250076;11
200.17.202.35;46335;1745725618401178176;1745725618409017088;250077;11
200.17.202.35;46335;1745725618501188118;1745725618508976896;250078;11
200.17.202.35;46335;1745725618601194920;1745725618609017344;250079;11
200.17.202.35;46335;1745725618701185622;1745725618709050368;250080;11
200.17.202.35;46335;1745725618801144403;1745725618808859392;250081;11
200.17.202.35;46335;1745725618901187265;1745725618909005056;250082;11
