sequence_number,time_to_detect_ms
331650,100.096768
735194,100.78464
198562,100.052736
686015,100.130816
141051,100.062976
583974,100.07296
270035,100.0704
794046,100.074496
409015,100.071936
376116,100.132352
494852,100.059648
94934,100.10112
190551,100.08064
337311,100.092416
792018,100.159488
306208,100.145408
254598,100.140288
831183,100.093952
437109,100.07424
39524,100.269568
851264,100.194304
107839,100.109312
152304,100.081152
751558,100.078592
711638,100.091392
766619,100.050432
1325,100.173568
804122,100.07552
341778,100.812032
671022,100.105728
