sequence_number,time_to_detect_ms
331650,123.31904
735194,219.36512
198562,123.275008
686015,218.711296
141051,116.62976
583974,218.65344
270035,123.292672
794046,218.654976
409015,123.294208
376116,123.354624
494852,123.28192
94934,118.441216
190551,123.302912
337311,123.314688
792018,218.739968
306208,123.36768
254598,123.36256
831183,218.674432
437109,123.296512
39524,101.061376
851264,218.774784
107839,118.449408
152304,116.647936
751558,218.659072
711638,218.671872
766619,218.630912
1325,100.64896
804122,218.656
341778,124.034304
671022,218.686208
