sequence_number,time_taken_to_correct_s
2,5.9392e-05
4,6.5792e-05
8,1.2032e-05
9,2.432e-05
13,0.000128256
15,7.3728e-05
18,4.4288e-05
20,2.1248e-05
23,1.9712e-05
25,4.3776e-05
28,5.8112e-05
29,1.8944e-05
30,6.912e-06
31,5.1712e-05
33,4.3264e-05
34,4.352e-06
37,2.432e-05
39,4.864e-06
40,1.792e-06
42,6.8352e-05
44,5.632e-06
45,3.1232e-05
46,5.5296e-05
48,4.1728e-05
51,3.7632e-05
53,0.0
54,3.9424e-05
56,7.168e-06
57,0.000121856
60,2.7904e-05
61,9.9328e-05
63,3.3792e-05
67,1.792e-06
68,2.304e-05
69,1.2032e-05
70,2.2784e-05
73,1.792e-06
74,9.6768e-05
76,2.3296e-05
78,4.3776e-05
79,1.2544e-05
80,9.3184e-05
81,0.000793856
83,0.000141056
85,3.584e-05
89,0.00080384
91,1.024e-05
94,7.68e-07
96,3.8144e-05
98,1.5104e-05
99,1.024e-06
100,3.0976e-05
102,8.96e-06
104,4.864e-06
105,2.0224e-05
109,2.048e-05
110,1.7408e-05
113,3.6352e-05
115,5.7088e-05
116,0.001096448
118,9.728e-06
120,3.072e-06
121,0.001204736
123,1.408e-05
124,2.0992e-05
125,3.84e-05
126,3.4816e-05
128,2.048e-06
130,1.8944e-05
131,1.7152e-05
133,4.7616e-05
136,2.048e-06
138,8.192e-06
140,6.7072e-05
142,5.376e-06
144,5.5552e-05
147,3.84e-06
149,1.5872e-05
151,1.7152e-05
153,1.4336e-05
155,0.00016128
158,8.4224e-05
160,7.68e-06
162,1.0496e-05
166,9.728e-06
167,4.096e-06
171,1.9456e-05
172,2.304e-06
173,5.8624e-05
175,0.000126464
177,1.1008e-05
178,2.432e-05
180,8.96e-06
182,7.168e-06
183,4.7104e-05
187,9.728e-06
188,9.216e-06
189,0.000220928
192,3.072e-06
193,9.1648e-05
195,0.000142592
196,2.2784e-05
199,2.56e-06
201,3.0976e-05
203,1.92e-05
204,2.4064e-05
207,1.3056e-05
209,3.7376e-05
211,9.472e-06
212,1.536e-05
214,6.4e-06
215,8.704e-06
216,1.536e-05
217,5.376e-06
219,3.3024e-05
221,7.8848e-05
225,4.5568e-05
230,1.28e-06
231,1.8944e-05
233,3.8656e-05
236,8.96e-06
237,5.12e-07
239,1.28e-05
240,6.144e-06
243,4.5312e-05
245,2.2272e-05
250,2.688e-05
251,2.816e-05
253,1.3312e-05
256,1.3056e-05
257,6.144e-06
260,2.2016e-05
261,7.424e-06
263,0.000164608
267,4.8128e-05
269,1.1776e-05
271,3.2e-05
274,2.7136e-05
277,2.0224e-05
281,2.944e-05
283,8.704e-05
286,3.8912e-05
289,3.2256e-05
293,2.4832e-05
294,4.3264e-05
296,1.6128e-05
297,3.84e-06
298,1.9968e-05
300,8.4224e-05
302,1.5872e-05
303,1.536e-05
304,6.144e-06
306,9.472e-06
308,3.84e-05
311,2.7648e-05
312,2.1248e-05
314,7.1424e-05
316,2.2016e-05
318,1.4336e-05
321,4.992e-05
323,2.4576e-05
326,3.8144e-05
328,2.304e-06
329,1.5104e-05
331,3.7376e-05
333,4.7616e-05
334,6.144e-06
336,3.7376e-05
338,2.7904e-05
339,1.4848e-05
341,3.6352e-05
344,4.608e-06
345,2.8928e-05
346,2.7648e-05
349,2.9184e-05
351,7.68e-06
352,2.2784e-05
354,9.2672e-05
356,2.0736e-05
357,0.000604416
359,6.2208e-05
360,0.000831232
364,9.728e-06
369,2.048e-06
370,8.192e-06
371,7.168e-06
372,4.0448e-05
375,8.96e-06
376,0.000522496
378,1.536e-05
379,8.192e-06
380,2.304e-06
381,7.68e-06
383,7.68e-07
384,1.5104e-05
385,1.8176e-05
387,4.608e-06
388,3.0208e-05
389,5.12e-07
391,1.7152e-05
393,1.024e-05
395,8.192e-06
397,6.656e-05
399,3.5328e-05
400,8.9088e-05
403,1.92e-05
406,8.96e-06
410,3.072e-06
411,5.12e-06
412,1.0752e-05
413,1.664e-05
415,8.96e-06
417,1.6384e-05
418,1.0496e-05
419,5.12e-07
420,3.584e-06
421,6.528e-05
423,3.4304e-05
426,2.1504e-05
428,1.9712e-05
430,9.472e-06
431,7.168e-06
434,1.3312e-05
435,4.352e-06
437,6.5024e-05
438,5.9392e-05
441,4.864e-06
442,0.0
444,6.144e-05
446,5.3504e-05
448,6.4e-06
450,5.888e-06
451,3.3024e-05
454,3.0464e-05
457,4.4288e-05
459,2.432e-05
462,3.8656e-05
464,7.9872e-05
466,6.144e-06
468,3.1232e-05
469,3.328e-06
471,1.5104e-05
472,9.3696e-05
474,2.6112e-05
476,4.6592e-05
479,2.0992e-05
480,1.0496e-05
482,4.352e-06
484,1.9456e-05
485,6.144e-06
487,6.912e-06
488,5.632e-06
489,2.2528e-05
490,0.000882688
494,6.4e-06
495,1.0496e-05
496,1.3824e-05
498,0.000346368
501,2.4064e-05
502,8.1408e-05
503,4.5824e-05
505,1.1776e-05
507,3.2256e-05
508,2.048e-06
509,7.68e-07
510,2.0224e-05
513,1.7152e-05
515,4.3776e-05
517,1.0496e-05
519,4.0192e-05
521,6.9888e-05
523,7.168e-06
525,1.6896e-05
527,3.3792e-05
529,1.408e-05
531,1.792e-05
533,8.704e-06
534,2.9184e-05
535,3.5584e-05
536,5.2224e-05
538,2.176e-05
540,1.8176e-05
541,8.192e-06
542,4.608e-06
543,1.7664e-05
545,8.192e-05
547,1.1776e-05
548,3.072e-06
549,1.8688e-05
551,1.2288e-05
552,2.0992e-05
557,1.28e-05
559,8.704e-06
561,4.864e-06
562,1.4336e-05
564,4.2752e-05
566,6.5792e-05
567,0.000348928
569,2.304e-06
570,6.656e-06
572,7.68e-07
574,2.816e-06
575,4.352e-06
576,7.4752e-05
577,2.0992e-05
581,1.2544e-05
583,2.688e-05
585,1.8944e-05
587,2.4064e-05
588,2.5088e-05
590,6.144e-06
592,4.8128e-05
593,5.6064e-05
596,6.656e-05
598,2.9952e-05
601,2.9952e-05
602,1.28e-05
603,0.000184064
607,5.888e-06
609,2.56e-07
611,4.864e-05
614,9.216e-05
616,9.472e-06
617,1.3568e-05
618,1.024e-05
621,5.12e-07
622,2.176e-05
623,8.448e-05
626,2.0224e-05
627,1.0752e-05
631,2.8416e-05
632,3.9168e-05
635,3.328e-06
636,8.96e-06
637,1.9456e-05
639,8.448e-06
641,3.0464e-05
643,3.712e-05
644,0.000468736
649,2.0992e-05
651,2.9184e-05
653,6.7328e-05
655,0.00017536
659,0.000100864
661,6.144e-06
