sequence_number,time_taken_to_correct_ms
2,0.059392
13,0.031744
81,0.559872
89,0.171008
116,0.809472
121,0.270848
357,0.266752
360,0.060928
376,0.031488
490,0.617216
567,0.026112
644,0.168192
744,0.123392
859,1.286144
993,2.088192
1498,0.54784
1557,0.784128
2144,5.169664
2571,3.838976
2658,0.1728
3299,0.07552
3365,0.455424
3388,0.215808
3711,0.14592
3841,0.38784
4065,1.008128
4242,0.448768
4295,0.900096
4787,0.117248
5091,0.58496
5145,0.04096
5170,0.153856
5244,0.04992
5306,3.074816
6768,0.30592
7297,0.012544
7338,0.506112
7744,0.02688
7749,1.171456
8046,0.430592
8692,0.365056
8765,0.099584
9081,1.189376
9145,1.500416
9355,0.273152
9971,0.327168
10050,1.087232
10123,0.903936
10291,0.507392
10386,1.75616
10933,0.001536
11071,0.04864
11505,0.018176
11889,1.563904
11943,0.126208
12224,0.361728
12282,1.369856
12557,0.193024
12743,0.56192
12916,0.12288
13046,0.440064
13057,2.010368
13378,0.032
13608,0.430848
13626,0.827136
14051,0.252928
14234,0.399104
14444,0.128512
14756,3.410432
14793,0.62976
15409,0.291584
15464,0.144896
16119,0.52352
16711,0.059392
16810,0.352512
16937,1.2608
17672,0.298752
17755,0.001792
17774,6.5344
19133,0.21504
19162,0.352
19620,0.693248
20598,1.689344
20797,0.152832
21208,0.55552
21790,0.433152
22254,0.682496
22345,0.397056
22444,0.26368
23145,0.968704
23677,0.877312
23756,0.41216
23794,2.211328
23875,0.509952
24472,0.169984
25149,1.810176
25262,0.11776
25317,0.160512
25380,0.802304
25808,0.380416
26313,0.034816
26477,0.01664
26988,0.334848
27134,1.845504
27252,0.571904
27424,1.46432
27786,0.895488
28176,0.325632
28339,0.119552
28561,0.028416
28979,0.02304
29293,0.201216
29327,0.070912
29437,3.223296
29531,0.036864
29761,3.487232
30119,0.082432
30315,0.767232
30517,1.517568
30727,0.588288
32164,0.094976
33421,0.982784
33569,0.27264
34675,1.205248
34708,0.122112
34946,0.889088
35183,0.16256
35607,0.115968
35918,1.828096
35943,0.2432
36088,0.18304
36434,1.421824
36743,0.101888
37221,1.331712
37673,1.012992
38042,0.059136
38288,0.13568
38312,1.498368
38398,0.960256
38702,1.048832
39179,0.516864
39363,1.157376
39755,0.119552
40207,0.338944
40260,0.48384
40346,0.651776
41221,0.586496
41350,1.306624
41600,2.341376
41813,0.270848
42305,0.392704
42405,0.889856
42573,0.0512
42619,0.408576
42934,0.603648
43498,0.363776
43596,0.02688
43603,0.822528
43689,0.943616
43772,0.52096
43806,99.217152
70071,89.005824
133544,0.608256
156181,83.122176
512024,976.80384
