sequence_number,time_taken_to_correct_ms
2,0.059392
4,0.0064
9,0.007168
13,0.110592
15,0.01664
18,0.007424
28,0.028672
42,0.012288
57,0.059648
61,0.007936
74,0.037376
80,0.054272
81,0.74496
89,0.543744
116,1.051648
121,0.833024
155,0.096768
173,0.037632
175,0.098304
189,0.194048
195,0.021248
221,0.023552
243,0.014848
245,0.002048
263,0.132352
283,0.040704
300,0.03072
314,0.014848
354,0.041984
357,0.566272
360,0.687872
376,0.3712
400,0.046336
421,0.047616
437,0.04864
438,0.032256
444,0.013568
464,0.023552
472,0.03584
490,0.858112
498,0.12928
535,0.00512
536,0.018176
545,0.02048
564,0.007424
566,0.044544
567,0.317184
593,0.022528
603,0.148224
614,0.02048
623,0.023296
632,0.009984
641,0.009216
644,0.440832
655,0.043008
671,0.014592
678,0.000256
684,0.00512
713,0.003584
724,0.096512
730,0.000512
732,0.068864
744,0.390144
769,0.006912
784,0.06656
791,0.049408
795,0.020736
811,0.126976
821,0.024064
825,0.022784
833,0.007424
840,0.010752
846,0.010496
853,0.041472
859,1.59232
888,0.019968
894,0.026624
898,0.056576
911,0.040448
926,0.020224
939,0.239872
961,0.002048
963,0.091392
989,0.08064
993,2.479872
1033,0.0448
1058,0.03328
1059,0.169728
1094,0.005632
1096,0.023552
1122,0.05632
1131,0.00512
1148,0.050432
1157,0.007424
1159,0.005376
1172,0.151552
1192,0.02688
1196,0.154368
1197,0.045568
1211,0.46592
1239,0.061952
1260,0.008448
1266,0.07936
1274,0.00256
1310,0.024064
1321,0.013312
1324,0.051456
1350,0.007936
1361,0.083968
1380,0.094976
1396,0.028928
1414,0.005888
1432,0.00896
1434,0.073984
1455,0.021248
1463,0.013824
1490,0.047872
1498,1.073152
1516,0.013312
1533,0.014848
1535,0.15616
1553,0.017664
1557,1.32864
1618,0.023808
1623,0.04992
1633,0.446208
1647,0.011264
1664,0.036352
1667,0.011008
1674,0.011008
1678,0.020736
1687,0.037376
1701,0.008192
1705,0.025856
1713,0.06656
1716,0.004608
1739,0.020224
1751,0.000768
1754,0.149248
1756,0.131328
1778,0.004096
1780,0.240896
1806,0.001536
1812,0.11392
1828,0.050176
1835,0.01152
1837,0.058624
1840,0.184832
1872,0.00768
1882,0.006656
1885,0.067584
1888,0.023552
1910,0.0256
1915,0.100352
1937,0.011264
1951,0.005632
1953,0.005376
1955,0.186368
1978,0.000768
1985,0.004864
1994,0.088064
2002,0.060416
2019,0.052736
2022,0.111616
2056,0.077568
2074,0.0192
2078,0.054784
2083,0.01152
2085,0.125696
2112,0.096
2122,0.024576
2135,0.059904
2144,5.790464
2199,0.000256
2203,0.02304
2213,0.029184
2227,0.003584
2232,0.012032
2235,0.0
2246,0.043776
2253,0.104448
2255,0.095488
2274,0.54912
2287,0.068864
2296,0.167936
2304,0.862464
2350,0.00512
2366,0.003328
2368,0.005632
2374,0.18048
2376,0.227328
2392,0.712448
2420,0.10624
2422,0.039168
2437,0.115456
2454,0.154624
2457,0.098304
2478,0.027392
2485,0.006656
2490,0.147968
2517,0.090368
2539,0.008448
2540,0.011008
2541,0.023552
2548,0.009984
2571,4.869888
2623,0.018688
2624,0.22272
2653,0.001536
2657,0.092928
2658,1.570304
2703,0.073728
2714,0.00128
2721,0.000256
2724,0.005632
2729,0.022016
2734,0.034816
2744,0.095232
2751,0.166656
2760,0.059136
2762,0.317184
2785,0.007168
2790,0.000768
2809,0.058112
2820,0.017408
2823,0.025856
2828,0.024576
2858,0.137728
2870,0.065024
2876,0.005888
2891,0.149248
2917,0.099584
2940,0.07296
2943,1.165824
2969,0.574464
2988,0.340992
3009,0.021248
3011,0.751104
3030,0.077568
3054,0.027648
3060,0.014336
3089,0.01152
3099,0.005888
3102,0.0064
3105,0.042752
3110,0.04992
3119,0.014592
3141,0.29568
3158,0.005632
3164,0.002816
3172,0.17408
3185,0.01024
3189,0.0
3196,0.006912
3210,0.132864
3216,0.222208
3244,0.033024
3258,0.036864
3260,0.03456
3265,0.186624
3297,0.046848
3299,1.299712
3325,0.32896
3330,0.222208
3344,0.372992
3360,0.594688
3365,1.78816
3378,0.317696
3388,1.4656
3425,0.237312
3428,0.352
3454,0.01536
3462,0.073728
3465,0.06016
3473,0.091648
3494,0.046336
3523,0.082176
3532,0.43264
3585,0.010496
3586,0.015616
3597,0.022784
3600,0.001024
3602,0.000768
3606,0.002048
3608,0.032512
3615,0.01792
3621,0.201984
3626,0.016384
3642,0.049408
3660,0.021504
3663,0.084992
3689,0.025088
3703,0.004096
3708,0.01152
3711,1.111808
3740,0.013312
3757,0.022272
3765,0.1024
3778,0.000512
3801,0.104192
3803,0.030208
3806,0.690176
3826,0.037888
3833,0.016384
3834,0.736768
3841,1.494272
3843,0.908544
3875,0.608512
3893,0.02816
3904,0.041728
3923,0.183296
3930,0.14848
3938,0.352512
3946,0.343296
3961,0.080896
3977,0.161536
3990,0.049664
3996,0.019712
4035,0.041216
4037,0.03328
4039,0.049408
4042,0.711936
4065,1.877248
4111,0.003072
4115,0.002304
4118,0.116224
4126,0.07936
4132,0.045568
4150,0.011008
4155,0.020224
4163,0.04224
4178,0.02176
4195,0.74496
4233,0.014848
4239,0.042752
4242,1.347584
4244,0.020736
4261,0.4544
4288,0.044288
4295,1.793536
4332,0.062976
4344,0.017664
4369,0.485632
4393,0.009728
4406,0.01536
4414,0.018176
4428,0.006912
4449,0.006656
4453,0.034048
4458,0.100608
4480,0.018944
4483,0.025088
4485,0.056064
4491,0.61056
4506,0.182528
4539,0.0
4546,0.009216
4548,0.065024
4558,0.0
4562,0.047104
4579,0.000512
4582,0.081408
4590,0.090112
4612,0.123136
4631,0.004096
4638,0.005632
4647,0.10368
4666,0.009472
4668,0.012288
4679,0.024064
4697,0.001024
4702,0.006144
4708,0.025344
4715,0.013312
4721,0.02688
4731,0.021504
4737,0.027648
4753,0.063744
4779,0.035328
