sequence_number,time_to_detect_ms
575553,105.341696
846408,103.84
733042,104.13696
274192,101.186304
245527,101.063936
365022,101.560064
421444,102.790656
481292,102.130944
455692,102.390016
437280,102.417664
238783,101.050112
91053,101.743872
410727,102.143488
150671,102.25152
643291,104.759808
304986,101.546752
561470,105.350144
69827,101.394432
144646,101.502976
549914,105.321472
367964,101.597184
81428,101.16224
559166,105.338112
95656,102.041088
494850,102.077952
654269,104.645888
749472,103.862016
614847,104.822528
116134,102.15552
446490,102.492928
