sequence_number,time_taken_to_correct_s
2,7.6544e-05
4,2.688e-05
7,3.8144e-05
8,0.0
11,1.92e-05
15,2.56e-07
16,2.56e-07
18,5.888e-06
19,2.56e-07
23,1.024e-06
24,0.0
28,1.8432e-05
29,2.048e-06
32,8.704e-06
33,6.5792e-05
35,5.376e-06
37,6.656e-06
38,2.304e-06
42,3.4816e-05
45,1.2032e-05
46,6.1184e-05
49,3.584e-05
51,4.224e-05
53,1.536e-06
55,3.2768e-05
56,2.56e-07
58,2.816e-06
59,0.0
60,1.28e-06
63,3.456e-05
65,5.12e-05
67,1.3056e-05
68,2.9184e-05
69,1.792e-06
70,2.56e-05
71,2.8416e-05
73,1.7408e-05
74,1.28e-05
76,1.6384e-05
80,8.0896e-05
82,1.3056e-05
83,3.7376e-05
85,5.3504e-05
87,1.9712e-05
88,5.632e-06
90,1.6896e-05
92,2.304e-06
94,3.584e-06
95,2.56e-06
96,5.12e-07
97,2.56e-07
100,6.144e-06
102,5.888e-06
103,4.608e-06
105,8.448e-06
107,1.3824e-05
108,1.9712e-05
111,0.000154624
113,3.5584e-05
115,2.7648e-05
117,3.2256e-05
118,2.304e-06
121,6.4e-06
122,2.56e-06
123,2.56e-06
124,1.0752e-05
127,2.048e-06
130,3.8144e-05
133,1.408e-05
135,1.6896e-05
136,3.584e-06
137,9.728e-06
139,2.4064e-05
142,3.072e-06
147,1.2544e-05
148,2.4064e-05
152,3.584e-06
153,1.4592e-05
154,6.144e-06
156,3.6096e-05
159,1.7664e-05
163,2.7136e-05
165,1.7408e-05
168,1.024e-06
170,4.5824e-05
172,1.7664e-05
174,1.6896e-05
177,2.6112e-05
178,1.5872e-05
181,2.432e-05
182,6.912e-06
185,1.5104e-05
187,2.7392e-05
188,1.024e-05
189,7.424e-06
190,5.376e-06
193,5.12e-06
195,2.3552e-05
198,1.024e-05
199,9.728e-06
201,0.000149248
204,1.28e-05
205,6.656e-06
207,4.7872e-05
209,9.728e-06
210,2.2016e-05
212,1.024e-06
215,3.8656e-05
219,2.3296e-05
222,4.8384e-05
225,2.432e-05
227,2.944e-05
228,1.7408e-05
233,4.5568e-05
239,8.704e-06
241,2.6624e-05
243,1.6128e-05
245,2.56e-06
247,3.0208e-05
249,1.152e-05
251,2.176e-05
254,1.0496e-05
256,2.1248e-05
258,1.28e-06
259,5.12e-07
260,4.864e-06
262,8.96e-06
264,1.9968e-05
267,2.432e-05
269,1.024e-05
271,0.000121088
273,4.608e-06
274,1.3824e-05
275,4.864e-06
277,1.024e-06
279,4.2496e-05
283,3.3024e-05
286,3.7376e-05
288,6.144e-06
289,5.632e-06
291,1.536e-06
293,4.0192e-05
297,3.328e-06
299,3.6096e-05
301,4.864e-05
303,1.792e-06
305,1.1776e-05
307,1.3056e-05
308,2.1248e-05
309,1.28e-06
310,4.352e-06
311,9.472e-06
314,1.2032e-05
316,1.4592e-05
319,2.688e-05
320,3.9424e-05
321,9.7024e-05
323,1.0496e-05
324,1.024e-06
325,2.304e-06
327,6.4e-06
328,1.1776e-05
329,1.3824e-05
331,2.6112e-05
336,6.656e-06
339,4.352e-06
340,1.1776e-05
341,2.048e-06
344,1.0496e-05
345,2.4064e-05
346,0.000153856
350,7.68e-06
351,1.7152e-05
353,2.048e-05
356,6.912e-06
357,5.888e-06
360,2.0992e-05
361,8.832e-05
363,4.096e-05
365,1.9456e-05
366,3.3792e-05
369,1.4592e-05
370,8.7808e-05
373,8.448e-06
375,9.472e-06
376,1.9968e-05
377,3.1232e-05
380,0.000103936
383,5.4784e-05
385,5.12e-06
387,1.7664e-05
389,2.816e-06
392,5.7344e-05
394,3.072e-06
397,2.3296e-05
400,3.2e-05
404,6.0928e-05
407,0.00022528
409,8.192e-06
410,5.12e-07
411,6.144e-06
414,1.1008e-05
415,4.096e-06
418,2.688e-05
422,3.1488e-05
423,3.6096e-05
425,1.2032e-05
426,9.1648e-05
428,8.2688e-05
429,1.0496e-05
430,9.472e-06
433,5.4016e-05
434,5.12e-07
435,1.0752e-05
437,2.3296e-05
439,8.96e-06
445,4.608e-06
447,4.5312e-05
450,7.68e-06
451,3.0464e-05
453,9.728e-06
455,3.7632e-05
457,4.352e-06
458,3.84e-06
459,0.000108032
461,1.9968e-05
464,4.8896e-05
468,5.6832e-05
469,1.2544e-05
473,2.304e-06
475,6.5024e-05
477,0.000107264
479,6.4768e-05
483,3.1488e-05
485,1.152e-05
487,3.3536e-05
