sequence_number,time_taken_to_correct_ms
2,0.076355
4,0.031488
7,0.020992
28,0.002304
33,0.047104
42,0.007424
46,0.031488
63,0.002048
65,0.00896
70,0.002304
71,0.004096
80,0.041216
111,0.128768
130,0.005632
148,0.001024
156,0.012288
163,0.000768
170,0.018944
201,0.121856
222,0.010496
233,0.008448
271,0.094208
293,0.003584
299,0.004096
301,0.011264
320,0.002816
321,0.073728
345,0.000256
346,0.138496
361,0.06784
370,0.023296
380,0.04352
392,0.008448
404,0.023808
407,0.17408
426,0.063744
447,0.012032
459,0.08832
475,0.020736
477,0.047616
500,0.11264
508,0.095232
524,0.01536
549,0.001024
553,0.04992
560,0.023552
570,0.09984
584,0.029952
610,0.00512
614,0.030976
622,0.012032
623,0.001024
645,0.01408
646,0.163072
664,0.06016
685,0.00384
695,0.009984
705,0.011264
711,0.0
715,0.060416
741,0.003584
744,0.027392
766,0.006144
769,0.077056
787,0.004864
805,0.005376
807,0.00896
809,0.000512
813,0.011264
820,0.008448
825,0.069888
840,0.03456
845,0.022528
851,0.002816
853,0.005632
863,0.021248
894,0.159744
913,0.00256
917,0.023808
935,0.015104
943,0.000256
957,0.009472
960,0.115968
963,0.098304
980,0.022016
994,0.008448
1003,0.001024
1023,0.013056
1027,0.007936
1032,0.008704
1033,0.072704
1060,0.062208
1077,0.00128
1096,0.038656
1107,0.00384
1114,0.013056
1122,0.167424
1136,0.104192
1172,0.048128
1185,0.00256
1198,0.013824
1233,0.047872
1239,0.004096
1251,0.002048
1267,0.008704
1278,0.000768
1283,0.045824
1286,0.043776
1307,0.008448
1324,0.002304
1326,0.026112
1347,0.00256
1355,0.01024
1359,0.01152
1361,0.028672
1378,0.013824
1379,0.078592
1390,0.031232
1410,0.051456
1423,0.004096
1444,0.006656
1453,0.005632
1463,0.005632
1465,0.004864
1467,0.00768
1486,0.011264
1499,0.052224
1509,0.010752
1535,0.002304
1542,0.00256
1554,0.020736
1558,0.187904
1569,0.36608
1607,0.009728
1625,0.10368
1645,0.029696
1660,0.025088
1664,0.041216
1685,0.030976
1707,0.003584
1720,0.001024
1723,0.009728
1735,0.041472
1739,0.011008
1749,0.097536
1754,0.115968
1772,0.006144
1789,0.003328
1802,0.019712
1815,0.020992
1821,0.082944
1847,0.005632
1862,0.006912
1865,0.37632
1885,0.06784
1888,0.050688
1911,0.006144
1931,0.01152
1937,0.00768
1943,0.006656
1960,0.056064
1975,0.00128
1988,0.0064
1991,0.00256
1994,0.097536
2011,0.01408
2018,0.013312
2027,0.002816
2055,0.02176
2062,0.000768
2067,0.004096
2072,0.015104
2083,0.052224
2085,0.137984
2107,0.008192
2119,0.022016
2122,0.024576
2128,0.03328
2136,0.044544
2151,0.004096
2160,0.014592
2163,0.032768
2185,0.00256
2197,0.0128
2209,0.012288
2215,0.012288
2227,0.022272
2235,0.049664
2255,0.146176
2286,0.00768
2295,0.004864
2300,0.006144
2305,0.004096
2309,0.005376
2323,0.003072
2336,0.01792
2344,0.007168
2371,0.073728
2385,0.016128
2391,0.000512
2399,0.063232
2408,0.008704
2411,0.004864
2417,0.032768
2438,0.038656
2467,0.000512
2498,0.022784
2507,0.001024
2510,0.0128
2523,0.117248
2561,0.003328
2573,0.04736
2587,0.068864
2606,0.030464
2612,0.058368
2635,0.058368
2653,0.048896
2655,0.016896
2657,0.11648
2660,0.52352
2696,0.03328
2724,0.078336
2743,0.00384
2756,0.12544
2760,0.00896
2761,0.088064
2762,0.281856
2797,0.036608
2799,0.007168
2815,0.092672
2834,0.007424
2837,0.005888
2839,0.000512
2852,0.0064
2887,0.010752
2888,0.001024
2893,0.02688
2895,0.05888
2913,0.00384
2926,0.109824
2935,0.04736
2941,0.022528
2956,0.030464
2967,0.008192
2971,0.019968
2979,0.1728
2984,0.046336
3002,0.028416
3033,0.155392
3054,0.087296
3067,0.0
3075,0.011008
