CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
3.8.48.89;38843;1760876425493814355;1760876425532220247;750000;10
3.8.48.89;38843;1760876425593824080;1760876425632218013;750001;10
3.8.48.89;38843;1760876425693813662;1760876425732213255;750002;10
3.8.48.89;38843;1760876425793819446;1760876425832208999;750003;10
3.8.48.89;38843;1760876425893812314;1760876425932210326;750004;10
3.8.48.89;38843;1760876425993818893;1760876426032223936;750005;10
3.8.48.89;38843;1760876426093812961;1760876426132172908;750006;10
3.8.48.89;38843;1760876426193817423;1760876426232215488;750007;10
3.8.48.89;38843;1760876426293815226;1760876426332216846;750008;10
3.8.48.89;38843;1760876426393812931;1760876426432221186;750009;10
3.8.48.89;38843;1760876426493810275;1760876426532213486;750010;10
3.8.48.89;38843;1760876426593817208;1760876426632211947;750011;10
3.8.48.89;38843;1760876426693818045;1760876426732207753;750012;10
3.8.48.89;38843;1760876426793811750;1760876426832214567;750013;10
3.8.48.89;38843;1760876426893811020;1760876426932209398;750014;10
3.8.48.89;38843;1760876426993809562;1760876427032195058;750015;10
3.8.48.89;38843;1760876427093801731;1760876427132212975;750016;10
3.8.48.89;38843;1760876427193821428;1760876427232220077;750017;10
3.8.48.89;38843;1760876427293804763;1760876427332211742;750018;10
3.8.48.89;38843;1760876427393813938;1760876427432214324;750019;10
3.8.48.89;38843;1760876427493810460;1760876427532215360;750020;10
3.8.48.89;38843;1760876427593814297;1760876427632231563;750021;10
3.8.48.89;38843;1760876427693813238;1760876427732216420;750022;10
3.8.48.89;38843;1760876427793812103;1760876427832203913;750023;10
3.8.48.89;38843;1760876427893811849;1760876427932214366;750024;10
3.8.48.89;38843;1760876427993820877;1760876428032216782;750025;10
3.8.48.89;38843;1760876428093813543;1760876428132198149;750026;10
3.8.48.89;38843;1760876428193818502;1760876428232243378;750027;10
3.8.48.89;38843;1760876428293813866;1760876428332214244;750028;10
3.8.48.89;38843;1760876428393826307;1760876428432239517;750029;10
3.8.48.89;38843;1760876428493814610;1760876428532188475;750030;10
3.8.48.89;38843;1760876428593811703;1760876428632216010;750031;10
3.8.48.89;38843;1760876428693815017;1760876428732209854;750032;10
3.8.48.89;38843;1760876428793808996;1760876428832208932;750033;10
3.8.48.89;38843;1760876428893821195;1760876428932238178;750034;10
3.8.48.89;38843;1760876428993812774;1760876429032222950;750035;10
3.8.48.89;38843;1760876429093810482;1760876429132223364;750036;10
3.8.48.89;38843;1760876429193808761;1760876429232213688;750037;10
3.8.48.89;38843;1760876429293808519;1760876429332209266;750038;10
3.8.48.89;38843;1760876429393815027;1760876429432221244;750039;10
3.8.48.89;38843;1760876429493810952;1760876429532222166;750040;10
3.8.48.89;38843;1760876429593808142;1760876429632208165;750041;10
3.8.48.89;38843;1760876429693818159;1760876429732229963;750042;10
3.8.48.89;38843;1760876429793807153;1760876429832218865;750043;10
