sequence_number,time_to_detect_ms
831917,100.42112
640026,100.133632
769552,100.05248
639989,100.149504
492414,100.13056
407543,100.0576
394443,100.092672
218173,100.234752
214409,100.055808
728162,100.065024
539420,100.1408
391800,100.100864
752065,100.099584
817325,100.098048
838543,100.096
339462,100.088576
532284,100.110848
279068,100.08832
12913,100.104704
353049,100.06656
219922,100.0704
134130,100.132608
128409,100.14592
63495,100.060416
431061,100.158976
280179,100.183552
542319,100.172032
657282,100.136192
500357,100.157696
542711,100.124928
