sequence_number,time_to_detect_ms
831917,100.209152
640026,100.068608
769552,100.025856
639989,100.073472
492414,100.032768
407543,100.015616
394443,100.024576
218173,100.114944
214409,100.01408
728162,100.033024
539420,100.069888
391800,100.050176
752065,100.049408
817325,100.048384
838543,100.046592
339462,100.043776
532284,100.055296
279068,100.043264
12913,100.051712
353049,100.032512
219922,100.017408
134130,100.038656
128409,100.071936
63495,100.01664
431061,100.04096
280179,100.0896
542319,100.083968
657282,100.068352
500357,100.07808
542711,100.062464
