sequence_number,time_taken_to_correct_s
2,0.000105472
255,6.912e-06
350,7.296e-05
384,0.000728832
965,0.000150528
1234,0.000863744
1463,0.000462336
2201,0.001237504
3749,0.001753088
4397,1.28e-05
4651,0.000252928
6308,0.002168832
6981,0.002231296
7000,0.003208448
9750,0.000417024
10585,0.001462016
14769,0.000597504
17030,0.000750336
18982,0.000304384
20502,0.000283392
22566,0.00018944
23764,0.000391424
24964,0.000662784
24984,0.000173824
25586,0.000681984
26165,0.005895424
27964,0.000603904
28090,0.01161344
29765,0.001359104
34007,0.000268032
35921,0.000196864
43581,0.00157568
44778,0.000795648
50187,0.0002944
53824,0.000371712
54981,7.6544e-05
57365,0.007907584
61582,0.004309248
65044,0.003469056
75366,0.00363392
92764,7.1168e-05
94165,0.001166848
97580,0.002966784
106069,0.00840576
109078,0.003937024
111639,0.008771072
124491,0.006015488
128779,0.00012928
135365,0.0035776
139120,0.006120704
152764,0.012570624
154564,0.00344064
169581,0.001589248
191952,0.009465088
195968,0.002418688
203783,0.010715136
205116,0.004968704
206781,0.015394304
215795,0.002263552
221184,0.000372992
237972,0.007989248
259591,0.000573952
262579,0.004359168
277834,0.000865792
277863,0.008779008
280581,0.001747712
281779,0.000627968
302776,0.00980608
323176,0.004780288
339377,0.00104832
371775,0.001097216
393965,0.005724416
395791,0.001317632
419785,0.001758464
421565,0.002333696
431181,0.001233664
457825,0.00179584
463428,0.000847872
478588,0.001593856
489978,0.00217216
495385,0.00337152
500784,0.008067584
506765,0.0027072
510985,0.00069376
512044,0.996970496
