sequence_number,time_taken_to_correct_ms
2,0.105472
3,0.091904
10,0.000768
21,0.02304
36,0.008192
46,0.008704
58,0.011264
70,0.005632
82,0.058112
95,0.0384
126,0.015872
128,0.010752
137,0.004096
149,0.036352
164,0.025088
176,0.0128
190,0.018688
192,0.00512
212,0.007168
225,0.006656
227,0.009728
246,0.045056
255,0.159488
290,0.010752
293,0.003584
299,0.023552
300,0.10368
312,0.00512
326,0.00768
339,0.007936
350,0.214016
365,0.078848
380,0.002816
384,0.905472
403,0.151296
430,0.00256
435,0.021504
455,0.004096
461,0.001792
464,0.00128
465,0.023808
470,0.001024
478,0.0832
511,0.005376
516,0.200448
537,0.041728
541,0.012288
566,0.018688
574,0.008192
577,0.01664
582,0.00128
598,0.017152
604,0.002048
607,0.076288
614,0.000768
619,0.005376
646,0.047872
655,0.00384
660,0.000512
670,0.041216
698,0.002048
707,0.01024
714,0.141568
728,0.012544
747,0.040448
758,0.007424
765,0.121856
778,0.010752
787,0.039168
797,0.019968
803,0.001536
823,0.003328
826,0.089088
840,0.006912
852,0.002816
869,0.1216
899,0.024576
902,0.026112
920,0.012544
946,0.013056
948,0.003072
950,0.040704
957,0.052224
965,0.405504
982,0.258048
1005,0.016896
1015,0.002304
1029,0.000768
1031,0.036096
1035,0.008448
1042,0.043008
1044,0.048384
1066,0.056064
1074,0.00384
1087,0.023552
1091,0.005888
1105,0.071936
1162,0.011776
1174,0.004864
1176,0.000256
1180,0.029696
1191,0.022528
1194,0.038912
1207,0.099072
1209,0.01792
1234,1.076992
1275,0.05376
1293,0.016896
1298,0.061184
1310,0.090368
1335,0.105472
1352,0.009216
1385,0.018688
1391,0.003328
1402,0.015104
1407,0.002816
1414,0.004352
1431,0.003328
1442,0.0192
1446,0.04608
1463,0.721664
1498,0.044288
1521,0.007424
1526,0.036864
1564,0.005632
1565,0.002304
1570,0.005888
1577,0.168192
1582,0.347904
1618,0.030976
1629,0.016384
1637,0.077824
1663,0.011264
1667,0.031744
1674,0.041216
1686,0.003328
1688,0.05504
1699,0.06784
1730,0.006912
1746,0.016384
1749,0.034048
1771,0.029952
1773,0.06656
1791,0.018176
