CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
54.82.58.189;39411;1760821423567807526;1760821423639902219;200000;7
54.82.58.189;39411;1760821423667801329;1760821423739895439;200001;7
54.82.58.189;39411;1760821423767799584;1760821423839908051;200002;7
54.82.58.189;39411;1760821423867939506;1760821423940054819;200003;7
54.82.58.189;39411;1760821423967796484;1760821424039888958;200004;7
54.82.58.189;39411;1760821424067802640;1760821424140032916;200005;7
54.82.58.189;39411;1760821424167812451;1760821424239941020;200006;7
54.82.58.189;39411;1760821424267809887;1760821424339909189;200007;7
54.82.58.189;39411;1760821424367805278;1760821424439890506;200008;7
54.82.58.189;39411;1760821424467796529;1760821424539904338;200009;7
54.82.58.189;39411;1760821424567806093;1760821424639910591;200010;7
54.82.58.189;39411;1760821424667802703;1760821424739914591;200011;7
54.82.58.189;39411;1760821424767804162;1760821424839899313;200012;7
54.82.58.189;39411;1760821424867798635;1760821424939908476;200013;7
54.82.58.189;39411;1760821424967799351;1760821425039898814;200014;7
54.82.58.189;39411;1760821425067808690;1760821425139915920;200015;7
54.82.58.189;39411;1760821425167813144;1760821425239928384;200016;7
54.82.58.189;39411;1760821425267809669;1760821425339904227;200017;7
54.82.58.189;39411;1760821425367798249;1760821425439948801;200018;7
54.82.58.189;39411;1760821425467796646;1760821425539897319;200019;7
54.82.58.189;39411;1760821425567800633;1760821425639918554;200020;7
54.82.58.189;39411;1760821425667803446;1760821425739893682;200021;7
54.82.58.189;39411;1760821425767805490;1760821425839904936;200022;7
54.82.58.189;39411;1760821425867808654;1760821425939893306;200023;7
54.82.58.189;39411;1760821425967807403;1760821426039926544;200024;7
54.82.58.189;39411;1760821426067801602;1760821426139918951;200025;7
54.82.58.189;39411;1760821426167800791;1760821426239890335;200026;7
54.82.58.189;39411;1760821426267806316;1760821426339896507;200027;7
54.82.58.189;39411;1760821426367798061;1760821426439888311;200028;7
54.82.58.189;39411;1760821426467798029;1760821426539900926;200029;7
54.82.58.189;39411;1760821426567811352;1760821426639892626;200030;7
54.82.58.189;39411;1760821426667798706;1760821426739881457;200031;7
54.82.58.189;39411;1760821426767800044;1760821426839908154;200032;7
54.82.58.189;39411;1760821426867805983;1760821426939893049;200033;7
54.82.58.189;39411;1760821426967809376;1760821427039935764;200034;7
54.82.58.189;39411;1760821427067801824;1760821427139994765;200035;7
