sequence_number,time_to_detect_ms
180041,100.037632
507051,100.040192
318103,100.035584
587107,100.034048
190546,100.01792
655810,100.025856
430620,100.018944
390113,100.019712
628886,100.021248
73029,100.029184
521496,100.043776
846842,100.032
392094,100.016384
730334,100.015872
461745,100.020736
769638,100.0192
178727,100.015872
9388,100.04736
853962,100.045568
508631,100.114944
534292,100.0384
31100,100.059392
222043,100.031744
349863,100.069376
414679,100.0192
203061,100.04096
326401,100.071424
136939,100.076544
370229,100.056832
220735,100.0256
