sequence_number,time_taken_to_correct_ms
2,0.073728
4,0.005888
8,0.046592
10,0.067328
15,0.01024
17,0.070912
19,0.034048
21,0.013056
24,0.004608
26,0.00768
28,0.022784
31,0.038144
33,0.017664
36,0.004608
39,0.093952
41,0.003584
44,0.05504
46,0.028416
47,0.000512
50,0.018688
52,0.010752
54,0.009216
57,0.006656
58,0.009984
60,0.082432
62,0.00128
64,0.030464
67,0.003328
69,0.003072
70,0.047872
73,0.058368
76,0.010752
78,0.017408
80,0.001536
82,0.021504
83,0.01792
84,0.033792
88,0.01408
92,0.018944
94,0.021504
95,0.036352
96,0.029952
98,0.005376
100,0.07168
102,0.002048
103,0.013056
105,0.003328
107,0.02304
110,0.009984
112,0.000768
114,0.015872
116,0.025088
124,0.072448
126,0.009216
130,0.02304
133,0.011776
134,0.009216
136,0.03072
137,0.006912
139,0.015872
141,0.001792
146,0.000512
147,0.021504
148,0.008704
150,0.000512
151,0.041728
154,0.044288
157,0.036096
160,0.007168
162,0.022528
164,0.06272
166,0.001792
167,0.007168
169,0.013312
171,0.013312
173,0.014848
175,0.017664
176,0.024832
179,0.015872
181,0.003328
182,0.01536
184,0.000768
185,0.0128
188,0.038144
191,0.01664
192,0.000512
194,0.025344
195,0.008192
197,0.005888
199,0.002816
201,0.00896
202,0.01152
205,0.007424
206,0.012032
209,0.019968
211,0.019712
212,0.038656
214,0.01536
215,0.013568
217,0.04864
220,0.004352
221,0.007168
224,0.02176
228,0.033024
229,0.008448
232,0.022528
234,0.000256
235,0.008192
236,0.009984
238,0.086272
242,0.009216
243,0.001024
245,0.001024
246,0.025856
247,0.00256
249,0.017408
252,0.045312
254,0.006144
256,0.004096
257,0.02816
261,0.022784
262,0.003584
263,0.005376
264,0.0704
266,0.040448
268,0.001024
269,0.016128
270,0.031488
273,0.000768
275,0.00512
276,0.01024
277,0.073472
279,0.002304
280,0.001792
282,0.004352
283,0.008192
284,0.005888
286,0.006912
289,0.008448
290,0.011264
291,0.00384
294,0.004096
295,0.01152
297,0.030208
302,0.002048
303,0.013056
304,0.003328
305,0.020224
308,0.022784
310,0.0192
314,0.024832
318,0.008192
319,0.005888
320,0.001536
321,0.009728
324,0.004608
325,0.003328
326,0.000768
327,0.000256
329,0.020992
330,0.011776
332,0.001792
333,0.012544
334,0.002048
335,0.006656
338,0.002048
339,0.006144
341,0.019456
343,0.012032
344,0.000512
345,0.016896
349,0.016896
351,0.0128
353,0.004608
354,0.056064
356,0.00256
357,0.00256
358,0.014336
359,0.027136
363,0.010496
364,4.571392
367,0.011008
370,0.015104
372,0.002816
374,0.031232
376,0.00512
377,0.276992
380,0.075008
383,0.012288
384,0.9472
387,0.022272
390,0.004352
391,0.094976
393,0.000512
394,0.00512
396,0.026112
397,0.009984
400,0.002048
402,0.011776
403,0.0064
406,0.0128
409,0.008192
411,0.02176
412,0.007936
414,0.014336
416,0.033792
418,0.009472
420,0.021248
421,0.02048
424,0.034048
426,0.008192
427,0.004864
430,0.031488
432,0.005888
434,0.006912
436,0.016128
438,0.009472
441,0.028928
442,0.009984
444,0.005376
446,0.029952
448,0.003072
450,0.009984
452,0.027648
453,0.024832
455,0.058624
458,0.026112
460,0.02304
461,0.030208
463,0.019712
465,0.015104
469,0.003328
470,0.02944
473,0.001792
474,0.002816
477,0.014848
478,0.000512
481,0.03584
482,0.000512
484,0.02304
486,0.030464
489,0.027136
491,0.00256
492,0.000768
495,0.008704
497,0.008704
498,0.017664
501,0.016128
502,0.001792
505,0.00896
508,0.027648
513,0.0128
514,0.00896
516,0.27008
518,0.013056
520,0.021248
523,0.043264
526,0.032512
528,0.007168
529,0.009728
531,0.001536
533,0.004864
534,0.002048
536,0.001024
537,0.011008
538,0.018432
541,0.014592
545,0.016128
551,0.022272
553,0.001536
554,0.014592
556,0.00128
559,0.002816
560,0.051456
563,0.011776
567,0.000512
568,0.02688
574,0.006144
575,0.012544
576,0.005376
579,0.04224
582,0.00768
584,0.006912
586,0.003584
587,0.023296
589,0.001536
590,0.014336
592,0.000512
593,0.010496
594,0.060672
598,0.012288
600,0.014592
602,0.006912
603,0.001536
604,0.020992
606,0.02688
607,0.002304
609,0.004096
611,0.024832
612,0.000768
614,0.0448
615,0.008448
617,0.022528
619,0.022272
620,0.02048
622,0.01536
624,0.005376
626,0.050688
627,0.001024
629,0.001792
632,0.039936
634,0.009728
636,0.01408
638,0.011776
639,0.022016
643,0.019968
645,0.025344
646,0.0256
648,0.002304
650,0.003584
651,0.013312
652,0.005376
655,0.001792
656,0.00256
658,0.083968
664,0.068096
666,0.036608
668,0.01536
670,0.08576
673,0.016128
678,0.006656
679,0.00256
681,0.001792
682,0.019968
683,0.009728
685,0.013312
687,0.016384
690,0.04736
693,0.040704
695,0.009984
698,0.031744
700,0.008704
702,0.021504
703,0.018432
705,0.002816
706,0.015872
707,0.000256
709,0.001024
713,0.022784
715,0.0128
719,0.027648
720,0.001024
721,0.005376
723,0.0
725,0.016896
726,0.020224
730,0.01024
732,0.015616
735,0.010496
736,0.000256
738,0.020992
741,0.002816
742,0.006656
744,0.015104
746,0.017664
747,0.030208
749,0.014592
750,0.014336
752,0.029184
754,0.012288
756,0.002304
757,0.003584
758,0.01536
759,0.056832
761,0.004096
763,0.01152
764,0.01152
765,0.000256
768,0.01408
773,0.003328
774,0.008192
776,0.004096
778,0.010752
780,0.022528
782,0.003072
784,0.015872
785,0.023296
787,0.004352
790,0.018688
791,0.011776
793,0.005376
794,0.004864
795,0.071424
797,0.00256
800,0.01152
801,0.0064
803,0.00768
804,0.01024
809,0.036864
811,0.023808
813,0.021504
815,0.022784
819,0.006656
821,0.000512
822,0.013056
825,0.004864
826,0.131328
828,0.007168
830,0.005632
831,0.041472
834,0.011008
836,0.041984
837,0.055552
843,0.007936
844,0.004608
845,0.00768
847,0.014848
848,0.006912
850,0.008704
852,0.020992
854,0.055808
857,0.037632
860,0.00256
861,0.011008
864,0.032768
867,0.009216
868,0.0
869,0.15232
872,0.02176
873,0.004608
875,0.010752
877,0.026624
878,0.001024
882,0.00384
884,0.027648
886,0.007936
888,0.033792
891,0.010496
893,0.004096
894,0.019712
896,0.045824
898,0.007168
899,0.051456
901,0.0192
902,0.004096
905,0.011264
906,0.019712
908,0.00128
910,0.018688
912,0.013312
914,0.013056
916,0.0064
918,0.010752
920,0.0256
924,0.015616
926,0.001792
928,0.004864
929,0.079872
932,0.018432
933,0.003072
934,0.00768
935,0.027648
937,0.003328
940,0.005632
941,0.00512
942,0.005376
946,0.00256
947,0.014592
949,0.013568
951,0.00512
953,0.002816
954,0.015616
956,0.002816
958,0.017408
960,0.011776
961,0.020992
964,0.33024
969,0.002816
970,0.01792
973,0.011264
974,0.05248
976,0.094464
978,0.057088
982,0.402176
984,0.006656
986,0.0704
989,0.018944
992,0.008192
993,0.003072
995,0.01024
997,0.00256
998,0.007936
1000,0.018432
1002,0.0384
1005,0.012288
1007,0.007168
1009,0.001024
1010,0.012544
1014,0.02048
1015,0.009728
1017,0.008704
1022,0.00896
1023,0.001536
1024,0.001024
1026,0.02176
1028,0.006656
1029,0.02432
1031,0.006144
1033,0.008448
1035,0.012544
1036,0.050944
1038,0.018944
1039,0.005888
1040,0.01408
1042,0.011008
1043,0.022272
1046,0.006656
1047,0.018432
1051,0.012544
1052,0.023808
1053,0.01536
1056,0.009728
1059,0.00512
1060,0.014848
1062,0.040704
1063,0.050944
1065,0.021504
1067,0.011776
1069,0.004352
1070,0.004864
1072,0.018432
1074,0.018688
1077,0.005888
1078,0.033792
1081,0.020736
1085,0.001536
1086,0.006912
1087,0.005376
1088,0.000768
1091,0.024832
1094,0.016128
1096,0.004864
1097,0.0128
1099,0.13824
1101,0.00896
1103,0.00256
1105,0.096768
1108,0.063232
1109,0.031744
1113,0.014592
1114,0.022528
1117,0.0128
1119,0.012288
1121,0.003072
1122,0.008448
1124,0.015872
1126,0.00384
1127,0.00896
1128,0.001024
1130,0.012032
1132,0.000256
1134,0.026368
1137,0.012032
1139,0.009472
1143,0.0064
1145,0.01024
1147,0.0064
1148,0.010496
1150,0.01664
1151,0.000256
1153,0.019456
1155,0.0064
1156,0.009472
1157,0.062208
1159,0.014592
1161,0.048896
1164,0.029952
1166,0.019712
1168,0.019968
1169,0.001536
1172,0.003584
1173,0.01152
1174,0.014336
1176,0.008704
1178,0.002816
1180,0.020224
1182,0.022272
1184,0.006656
1185,0.009216
1187,0.087296
1190,0.0
1191,0.003072
1192,0.002048
1194,0.026368
1195,0.034304
1198,0.009728
1201,0.013056
1204,0.00128
1206,0.02944
1209,0.004864
1212,0.013824
1214,0.007936
1216,0.003328
1217,0.026112
1219,0.032512
1221,0.018176
1222,0.00768
1225,0.017152
1228,0.01152
1229,0.006144
1231,0.008192
1232,0.011776
1234,1.051392
1237,0.003072
1239,0.010496
1243,0.02048
1245,0.005632
1248,0.015104
1250,0.004352
1251,0.0064
1252,0.00768
1254,0.038912
1257,0.007424
1259,0.013568
1262,0.019968
1264,0.167424
1268,0.024064
1270,0.02688
1271,0.000512
1273,0.0256
1274,0.018176
1276,0.428032
1278,0.004864
1282,0.009216
1284,0.00256
1285,0.009984
1286,0.060672
1292,0.011776
1293,0.00256
1294,0.00128
1296,0.019968
1297,0.005888
1298,0.045056
1300,0.036608
1303,0.012288
1306,0.027648
1309,0.004352
1310,0.00896
1313,0.000256
1314,0.006912
1315,0.05888
1318,0.012288
1320,0.01536
1322,0.009216
1324,0.004864
1325,0.002304
1326,0.003328
1329,0.0128
1330,0.000768
1331,0.001024
1333,0.018944
1334,0.001024
1337,0.008448
1338,0.006912
1340,0.004608
1341,0.027392
1343,0.00128
1344,0.00896
1348,0.014592
1349,0.005376
1351,0.000256
1352,0.009984
1354,0.020224
1356,0.021504
1357,0.003328
1360,0.050688
1362,0.002304
1364,0.01536
1367,0.007168
1369,0.012544
1370,0.013056
1372,0.002816
