sequence_number,time_taken_to_correct_s
2,7.3728e-05
3,3.2512e-05
4,5.8368e-05
39,1.9968e-05
60,9.984e-06
124,3.2768e-05
238,2.432e-05
264,2.304e-06
354,9.216e-06
364,0.004496384
384,0.000177408
516,0.000225024
560,1.5616e-05
594,8.704e-06
658,3.3536e-05
664,5.12e-07
795,1.92e-05
826,8.4736e-05
869,8.3712e-05
929,3.4816e-05
964,0.000274688
982,0.000227328
1099,8.96e-05
1157,1.2288e-05
1187,2.5088e-05
1234,0.000995328
1264,7.1936e-05
1276,0.000302592
1315,2.816e-06
1360,2.56e-07
1411,2.304e-06
1504,2.56e-06
1526,5.888e-06
1548,2.5088e-05
1564,2.4832e-05
1577,0.000103424
1582,0.000246528
1667,2.3552e-05
1684,2.2528e-05
1689,1.152e-05
1699,5.6576e-05
1803,7.168e-06
2013,3.3792e-05
2063,3.3024e-05
2122,1.28e-05
2164,1.5872e-05
2165,3.3024e-05
2180,1.0752e-05
2191,0.000120064
2201,0.001598976
2246,1.2288e-05
2314,5.888e-06
2369,0.00015488
2482,3.328e-06
2561,1.408e-05
2582,2.816e-06
2751,1.792e-05
2785,1.408e-05
2848,5.0688e-05
2957,2.304e-05
3006,1.0496e-05
3016,1.5872e-05
3054,3.2512e-05
3120,1.8176e-05
3157,1.1008e-05
3185,1.792e-06
3352,8.96e-06
3364,3.1488e-05
3368,9.728e-06
3382,2.048e-06
3456,0.000171264
3506,1.1776e-05
3692,7.1424e-05
3716,3.8144e-05
3748,4.9152e-05
3749,0.001988864
3802,1.8432e-05
3815,0.000169472
3860,6.912e-06
3915,8.192e-06
3964,2.8928e-05
3965,7.3216e-05
3976,0.000117248
4000,4.7104e-05
4004,5.1968e-05
4038,1.7152e-05
4111,8.448e-06
4119,1.2544e-05
4145,4.096e-06
4201,8.96e-06
4353,0.000156416
4411,2.3552e-05
4425,2.0992e-05
4437,6.656e-05
4445,1.536e-06
4467,4.864e-05
4489,2.1248e-05
4517,1.024e-05
4543,4.5056e-05
4577,6.1952e-05
4580,2.1248e-05
4651,3.2768e-05
4666,2.2016e-05
4694,2.8416e-05
4722,2.7136e-05
4758,3.2e-05
4766,1.1776e-05
4770,1.4592e-05
4827,5.632e-06
4864,0.000112128
4877,5.12e-07
4924,4.608e-06
5040,5.504e-05
5092,3.3024e-05
5139,2.0992e-05
5175,9.728e-06
5176,0.00014208
5207,0.000202752
5256,4.0704e-05
5305,0.000534784
5334,0.000197888
5464,4.864e-06
5479,4.992e-05
5514,4.48e-05
5550,2.56e-07
5558,3.1232e-05
5621,2.8672e-05
5700,8.2944e-05
5764,0.002867968
5799,1.5104e-05
5909,0.000212736
5950,3.5584e-05
5954,0.00021248
5982,5.6576e-05
6030,9.728e-06
6045,1.28e-06
6064,0.000238336
6106,2.2528e-05
6160,0.000125696
6170,0.000346624
6227,3.2256e-05
6325,3.6608e-05
6355,0.000242176
6387,5.7856e-05
6418,4.0192e-05
6451,1.6384e-05
6488,3.84e-06
6625,7.68e-07
6640,0.00069248
6662,1.4336e-05
6751,3.584e-05
6769,2.7136e-05
6781,5.3504e-05
6827,0.00011776
6864,1.6128e-05
6915,1.0752e-05
6964,2.816e-05
6966,1.536e-06
6993,5.4016e-05
7012,6.016e-05
7014,0.000127232
7220,3.6608e-05
7260,1.4592e-05
7347,1.0496e-05
7457,4.4288e-05
7523,5.12e-07
7537,2.176e-05
7564,0.000100608
7738,6.4256e-05
7762,4.5056e-05
7795,2.048e-06
7844,0.00025344
7870,4.8896e-05
7909,5.4528e-05
7986,9.728e-06
8059,1.024e-06
8114,5.5296e-05
8149,2.2272e-05
8164,0.000162048
8179,5.7856e-05
8198,4.992e-05
8395,1.6128e-05
8456,2.6112e-05
8473,0.000107776
8538,3.584e-06
8562,7.936e-06
8650,2.688e-05
8698,1.3568e-05
8709,3.456e-05
8758,1.3568e-05
8764,0.001763072
8846,1.792e-06
8934,8.6016e-05
9010,9.472e-06
9033,7.1168e-05
9072,2.9184e-05
9127,1.024e-05
9226,2.3552e-05
9236,0.000274944
9277,2.2272e-05
9296,1.92e-05
9320,2.816e-05
9364,0.000129792
9403,0.00016768
9413,0.000188416
9464,3.3792e-05
9468,9.728e-06
9489,6.656e-06
9535,1.7664e-05
9557,4.0704e-05
9581,9.0624e-05
9610,1.2544e-05
9625,0.000104704
9700,2.1248e-05
9725,3.2512e-05
9815,1.5616e-05
9871,1.3056e-05
9901,0.000670208
9976,3.1744e-05
9986,0.000723712
10052,1.1008e-05
10108,3.1232e-05
10316,1.024e-06
10342,8.3712e-05
10390,2.7392e-05
10474,5.7088e-05
10530,2.6112e-05
10542,0.000800512
10580,0.000102144
10643,5.376e-06
10682,2.6112e-05
10750,2.6368e-05
10795,1.1776e-05
10874,2.2016e-05
10932,0.000165632
11017,2.6624e-05
11055,3.7376e-05
11082,7.424e-05
11109,0.000152064
11124,2.6624e-05
11128,9.6256e-05
11138,0.000162304
11164,0.000500992
11188,5.248e-05
11273,5.376e-06
11276,3.9168e-05
11293,6.0416e-05
11344,6.912e-05
11364,7.296e-05
11382,2.816e-06
11406,0.000105216
11424,2.176e-05
11519,3.3536e-05
11649,1.4848e-05
11705,4.1984e-05
11725,0.000685568
11751,4.096e-06
11843,1.408e-05
11873,0.0
11911,7.0912e-05
11949,9.472e-06
12078,2.304e-06
12096,0.0001024
12200,1.024e-06
12364,6.7584e-05
12433,2.5344e-05
12447,1.9968e-05
12452,9.984e-06
12507,3.328e-06
12519,2.2784e-05
12538,2.4576e-05
12570,4.992e-05
12632,8.0896e-05
12661,9.8048e-05
12756,7.68e-07
12780,5.0688e-05
12906,4.7616e-05
12923,0.000747008
12993,0.000247296
13040,3.9168e-05
13081,3.4304e-05
13120,1.92e-05
13163,2.7136e-05
13196,1.536e-06
13210,0.000518912
13235,6.7584e-05
13311,8.448e-06
13341,4.8896e-05
13373,0.000566528
13433,0.000108288
13503,3.456e-05
13564,0.000775936
13579,0.000590592
13635,5.376e-06
13645,2.816e-05
13695,8.0384e-05
13800,2.304e-05
13841,6.144e-05
13872,6.1184e-05
13900,5.12e-06
13927,0.000146944
14025,1.9456e-05
14038,1.4592e-05
14088,6.144e-06
14102,4.864e-06
14164,0.001335808
14184,4.8384e-05
14217,2.5088e-05
14382,1.792e-06
14407,9.7024e-05
14450,1.664e-05
14528,5.632e-06
14553,4.1984e-05
14608,1.0752e-05
14658,1.024e-06
14690,4.864e-06
14762,3.584e-05
14764,0.0005248
14769,0.001597184
14839,4.1216e-05
14858,1.3824e-05
14867,1.536e-06
14925,2.688e-05
15090,4.096e-06
15127,5.0176e-05
15186,1.7664e-05
15245,9.984e-06
15392,6.4768e-05
15412,0.000672768
15527,1.536e-06
15643,4.9408e-05
15727,1.8944e-05
15830,1.792e-05
15869,0.000440576
15926,3.3024e-05
15964,1.2544e-05
15965,0.00021888
15985,6.9632e-05
16007,0.000100096
16064,1.024e-06
16066,0.000180224
16094,9.728e-06
16129,0.000468992
16189,2.432e-05
16210,1.92e-05
16252,1.8432e-05
16258,1.024e-05
16366,2.0736e-05
16464,3.5072e-05
16510,1.8688e-05
16556,1.6384e-05
16564,0.000758272
16690,4.8896e-05
16781,1.024e-06
16792,0.000188416
16840,1.3568e-05
16876,2.56e-06
16917,6.4e-06
16974,7.424e-06
16984,2.56e-06
17061,2.2784e-05
17100,2.816e-05
17107,5.12e-06
17181,2.5344e-05
17189,0.000271616
17217,0.00057856
17293,0.000680704
17370,7.04e-05
17394,8.0128e-05
17405,4.608e-06
17452,4.0448e-05
17466,2.816e-06
17548,0.000708352
17562,9.4208e-05
17686,4.224e-05
17757,3.0464e-05
17768,3.584e-05
17777,3.3792e-05
17786,0.000935936
17823,0.000353024
17876,2.048e-06
17903,5.2992e-05
17994,6.5792e-05
18027,6.2464e-05
18118,6.6048e-05
18148,9.216e-06
18177,8.7296e-05
18297,7.9872e-05
18334,0.000291584
18366,7.424e-06
18379,0.000145664
18391,0.000133632
18450,0.000107264
18468,2.8672e-05
18489,1.2288e-05
18551,2.9184e-05
18598,1.536e-06
18640,4.3776e-05
18697,5.5296e-05
18707,2.0224e-05
18757,2.944e-05
18801,8.96e-06
18812,3.9168e-05
18850,2.176e-05
18902,3.1232e-05
18964,7.936e-06
18965,0.000234752
18982,1.408e-05
18997,1.9456e-05
19028,1.7408e-05
19076,5.7344e-05
19084,4.864e-06
19126,4.0192e-05
19158,2.6112e-05
19182,0.000326144
19206,8.4224e-05
19348,1.1776e-05
19406,5.12e-06
19449,0.000280064
19520,9.344e-05
19534,1.8944e-05
19545,2.048e-06
19564,0.000103424
19585,0.000183296
19628,8.192e-06
19668,5.632e-06
19674,9.728e-06
19729,4.352e-06
19756,1.28e-06
19817,3.328e-06
19822,1.4336e-05
19837,3.84e-05
19895,0.000239104
19940,4.096e-06
19993,6.3232e-05
20014,2.56e-06
20037,1.92e-05
20094,0.0001216
20109,0.0
20177,6.3488e-05
20251,6.7584e-05
20286,2.1248e-05
20310,0.000156672
20354,3.8144e-05
20442,1.0752e-05
20462,6.7328e-05
20598,7.424e-05
20643,0.000225536
20687,1.536e-05
20697,3.8144e-05
20745,2.4064e-05
20770,1.408e-05
20780,9.1136e-05
20807,0.000228096
20847,0.000122368
20902,5.4272e-05
20926,4.7872e-05
20997,0.000114688
21156,1.8944e-05
21247,1.6896e-05
21283,5.2224e-05
21287,6.912e-06
21303,7.68e-07
21348,4.736e-05
21364,0.003062528
21465,4.3776e-05
21470,6.144e-06
21514,8.2944e-05
21687,5.2992e-05
21732,3.456e-05
21766,2.2016e-05
21797,0.000137472
21883,2.0736e-05
21982,9.4464e-05
22007,5.76e-05
22010,0.00071808
22117,6.144e-06
22208,5.12e-06
22248,0.00016512
22321,1.5616e-05
22326,5.9904e-05
22362,1.0496e-05
22401,0.000207616
22453,3.84e-06
22472,2.304e-05
22511,7.424e-06
22530,4.0192e-05
22566,0.000944896
22588,2.7648e-05
22656,3.9424e-05
22682,2.56e-05
22784,6.656e-06
22921,1.2544e-05
22994,5.1456e-05
23126,7.424e-06
23165,0.000286976
23205,5.4784e-05
23350,0.000506368
23393,2.56e-07
23434,4.0192e-05
23556,1.536e-05
23631,5.0944e-05
23664,0.000419584
23747,2.3808e-05
23764,0.001648384
23833,9.7792e-05
23846,1.8688e-05
23906,0.000179712
23921,0.000237312
24002,5.8624e-05
24043,3.8656e-05
24134,9.7536e-05
24203,4.6848e-05
24282,2.0224e-05
24293,2.944e-05
24356,2.304e-05
24360,3.584e-06
24364,0.000168448
24414,6.144e-05
24454,2.6368e-05
24592,9.728e-06
24609,3.328e-06
24659,0.000127232
24664,7.7568e-05
24704,1.4592e-05
24731,7.1168e-05
24803,9.216e-06
24850,6.8608e-05
24881,1.8432e-05
24964,1.2032e-05
24975,1.2544e-05
24979,0.002710016
25061,4.2752e-05
25153,9.728e-06
25228,2.304e-06
25233,3.4304e-05
25274,4.608e-06
25299,1.792e-05
25417,2.56e-07
25434,0.000131072
25495,2.7136e-05
25513,1.408e-05
25564,0.000976384
25586,0.000901888
25654,4.608e-06
25664,5.376e-06
25687,1.4848e-05
25721,2.304e-05
25806,6.912e-06
25824,4.608e-06
25854,1.3056e-05
25958,4.096e-05
25986,1.4848e-05
26009,3.968e-05
26089,4.3264e-05
26164,2.688e-05
26178,1.024e-06
26180,3.4304e-05
26186,0.000834816
26232,4.352e-06
26234,0.000114688
26341,7.936e-06
26358,3.2e-05
26381,8.1152e-05
26451,1.1776e-05
26527,4.5056e-05
26611,2.2016e-05
26629,0.000611328
26680,1.8688e-05
26701,0.000247296
26768,2.3808e-05
26775,0.0
26793,1.2032e-05
26818,0.000244736
26842,8.9856e-05
27000,5.376e-06
27006,1.152e-05
27224,7.5264e-05
27288,0.000163584
27314,1.7152e-05
27364,0.001687296
27436,7.68e-06
27438,9.472e-06
27466,2.9696e-05
27530,9.728e-06
27570,2.6112e-05
27585,1.8176e-05
27674,1.536e-06
27699,4.1728e-05
27808,1.4336e-05
27824,7.8592e-05
27881,7.68e-07
27907,2.56e-06
27945,0.000314624
27964,7.68e-07
28039,2.2784e-05
28130,4.2496e-05
28189,1.792e-05
28254,0.000338176
28322,9.2928e-05
28385,0.000133376
28436,2.688e-05
28438,1.5616e-05
28471,8.576e-05
28515,1.408e-05
28564,0.003432448
28587,0.002459648
28661,1.8176e-05
28697,1.92e-05
28747,4.2752e-05
28801,3.072e-06
28857,0.0
28872,2.2272e-05
28898,2.3808e-05
28916,4.864e-05
28989,6.656e-05
29012,7.936e-06
29107,5.2992e-05
29121,5.8368e-05
29149,3.3792e-05
29177,5.5552e-05
29179,0.0001152
29232,4.352e-06
