sequence_number,time_taken_to_correct_s
2,7.3904e-05
3,3.2512e-05
4,5.8368e-05
10,1.1776e-05
17,2.9952e-05
39,5.9904e-05
60,4.8128e-05
70,8.448e-06
73,1.4336e-05
96,7.68e-06
100,2.3552e-05
124,5.376e-05
151,1.792e-05
154,1.2032e-05
164,2.048e-05
176,5.632e-06
188,9.472e-06
212,7.168e-06
217,6.912e-06
228,1.28e-06
238,5.5808e-05
252,1.3568e-05
264,3.6352e-05
277,3.3024e-05
297,3.328e-06
329,3.072e-06
354,3.2768e-05
359,8.448e-06
364,0.004534784
384,0.000566528
453,6.912e-06
455,3.9424e-05
481,1.2032e-05
486,1.4848e-05
508,8.192e-06
516,0.000248064
538,5.12e-07
551,3.584e-06
560,3.4048e-05
568,4.864e-06
579,2.176e-05
587,1.024e-06
594,3.4816e-05
614,1.4336e-05
626,1.1008e-05
632,5.632e-06
646,5.888e-06
658,5.9648e-05
664,3.4816e-05
670,3.3536e-05
690,1.6128e-05
693,2.304e-06
719,3.072e-06
738,5.12e-07
744,5.888e-06
746,7.168e-06
747,1.7408e-05
752,1.2032e-05
759,3.9168e-05
780,2.816e-06
795,5.8368e-05
809,1.2032e-05
826,0.000108288
831,1.408e-05
837,2.56e-05
854,2.048e-05
869,0.000118528
894,4.096e-06
896,1.0496e-05
899,3.0208e-05
929,5.76e-05
935,6.656e-06
964,0.000303104
976,1.0496e-05
982,0.000315904
1026,1.536e-06
1029,1.28e-06
1036,3.7888e-05
1062,1.152e-05
1063,3.0208e-05
1078,1.7664e-05
1091,3.84e-06
1097,1.024e-06
1099,0.000126208
1105,4.4288e-05
1134,2.048e-06
1157,4.9408e-05
1161,6.144e-06
1187,5.6832e-05
1195,1.3056e-05
1206,3.84e-06
1217,5.376e-06
1219,1.92e-05
1234,0.001023744
1264,0.000120064
1276,0.000365312
1298,1.9968e-05
1315,4.4544e-05
1341,1.7664e-05
1354,1.024e-06
1360,2.6112e-05
1381,0.0
1386,2.816e-06
1405,1.792e-06
1410,1.0752e-05
1411,2.816e-05
1417,6.656e-06
1422,1.2544e-05
1446,2.56e-07
1460,2.304e-06
1473,5.888e-06
1488,2.56e-07
1504,2.3296e-05
1526,3.7376e-05
1548,6.5536e-05
1564,5.0176e-05
1577,0.000152064
1582,0.000324352
1612,1.92e-05
1619,7.936e-06
1628,7.68e-07
1646,3.328e-06
1654,7.68e-07
1656,1.28e-06
1667,4.7616e-05
1684,5.2736e-05
1689,5.76e-05
1699,9.7792e-05
1719,3.328e-06
1741,2.56e-07
1746,5.888e-06
1764,5.632e-06
1780,7.68e-07
1786,5.12e-07
1799,4.352e-06
1803,2.2272e-05
1804,1.408e-05
1806,1.6896e-05
1809,2.816e-06
1834,1.3824e-05
1841,2.048e-06
1862,5.632e-06
1864,2.048e-06
1870,2.3296e-05
1914,1.3568e-05
1922,1.792e-06
1934,1.4592e-05
1936,3.584e-06
1950,1.4592e-05
1964,5.12e-07
1966,7.168e-06
1972,3.84e-06
1973,1.5872e-05
1975,1.2032e-05
1978,5.632e-06
1991,1.792e-06
2010,9.728e-06
2013,7.7824e-05
2017,1.536e-05
2021,5.12e-06
2036,1.3568e-05
2063,6.0672e-05
2070,3.072e-06
2082,1.8432e-05
2109,1.536e-06
2116,3.2256e-05
2122,4.1728e-05
2136,6.4e-06
2163,4.352e-06
2164,5.12e-05
2165,8.3456e-05
2180,6.144e-05
2183,5.888e-05
2191,0.000252416
2201,0.001722624
2246,5.5296e-05
2254,5.888e-06
2285,3.3024e-05
2286,2.3808e-05
2308,1.152e-05
2314,2.8672e-05
2317,7.936e-06
2342,2.56e-06
2352,1.4592e-05
2354,3.84e-06
2369,0.000197376
2422,3.328e-06
2425,3.84e-06
2442,1.5104e-05
2452,2.56e-06
2464,1.3056e-05
2482,2.176e-05
2492,2.048e-06
2499,1.2032e-05
2518,9.216e-06
2522,6.4e-06
2525,5.12e-07
2532,2.8416e-05
2536,2.2272e-05
2541,9.984e-06
2542,4.3776e-05
2561,8.4992e-05
2582,3.7376e-05
2594,2.176e-05
2605,1.9712e-05
2613,1.0752e-05
2647,5.376e-06
2650,2.304e-05
2661,2.3296e-05
2664,4.6592e-05
2689,2.432e-05
2709,1.0496e-05
2731,6.4e-06
2747,5.12e-07
2749,4.608e-06
2751,5.1968e-05
2764,3.3024e-05
2776,2.7136e-05
2780,3.9424e-05
2782,3.9168e-05
2785,0.000122624
2789,1.5616e-05
2807,9.216e-06
2834,8.448e-06
2848,8.32e-05
2861,4.864e-06
2863,9.472e-06
2874,2.5344e-05
2877,3.84e-06
2880,2.7648e-05
2918,4.2752e-05
2954,1.4592e-05
2957,7.0656e-05
2973,3.9424e-05
2981,5.0688e-05
2993,1.536e-06
3006,3.968e-05
3016,5.6576e-05
3049,1.8176e-05
3054,7.7056e-05
3064,2.048e-06
3075,3.84e-06
3086,5.12e-07
3102,7.68e-07
3103,1.4592e-05
3106,7.68e-06
3115,5.12e-06
3120,5.6576e-05
3139,3.584e-06
3157,4.7872e-05
3164,2.56e-06
3173,1.7152e-05
3175,4.5056e-05
3185,3.6096e-05
3194,3.584e-06
3215,4.608e-06
3232,1.4848e-05
3253,2.816e-06
3267,6.4e-06
3280,5.12e-07
3295,2.048e-06
3300,1.3056e-05
3315,6.912e-06
3329,3.84e-06
3335,2.0992e-05
3352,2.6368e-05
3354,7.68e-07
3364,7.2448e-05
3368,5.888e-05
3382,6.8352e-05
3386,2.3552e-05
3402,2.176e-05
3410,5.4016e-05
3413,5.2992e-05
3442,6.912e-06
3454,1.1008e-05
3456,0.000206848
3504,0.0
3506,2.4576e-05
3517,1.1008e-05
3536,9.472e-06
3544,1.1008e-05
3550,1.8688e-05
3571,8.96e-06
3581,3.584e-06
3596,2.2016e-05
3598,2.2272e-05
3615,1.2544e-05
3619,4.5568e-05
3621,3.072e-06
3662,3.584e-06
3664,1.5616e-05
3665,2.2016e-05
3692,9.3952e-05
3701,7.68e-06
3716,7.5264e-05
3718,1.792e-05
3736,5.632e-06
3748,8.704e-05
3749,0.002052864
3802,6.5536e-05
3815,0.000217088
3817,0.00010496
3828,7.6032e-05
3853,1.2288e-05
3860,3.4048e-05
3863,3.4816e-05
3875,5.3504e-05
3904,4.864e-06
3907,3.3536e-05
3915,9.3696e-05
3942,3.1744e-05
3957,7.424e-06
3964,6.1184e-05
3965,0.000144384
3976,0.000190464
4000,0.000109056
4004,0.000146944
4032,2.816e-06
4038,6.144e-05
4066,5.376e-06
4095,1.1264e-05
4097,9.984e-06
4111,2.9184e-05
4119,4.352e-05
4139,1.6128e-05
4145,3.0208e-05
4156,4.0192e-05
4166,1.7152e-05
4196,5.376e-06
4201,2.9952e-05
4230,6.4e-06
4236,2.56e-06
4245,1.0752e-05
4252,4.352e-06
4255,1.152e-05
4259,1.0496e-05
4264,2.432e-05
4268,3.3536e-05
4302,9.216e-06
4318,1.8176e-05
4337,8.192e-06
4348,1.7152e-05
4353,0.000189184
4363,3.2768e-05
4366,4.864e-05
4397,5.888e-06
4401,1.28e-06
4406,3.328e-06
4411,6.6816e-05
4425,4.8384e-05
4428,3.6864e-05
4437,0.000107264
4445,5.9648e-05
4467,9.4464e-05
4489,6.5536e-05
4517,3.2e-05
4530,1.1776e-05
4532,1.152e-05
4539,2.304e-06
4543,7.0144e-05
4548,7.424e-06
4564,2.688e-05
4577,0.000109056
4580,9.3184e-05
4585,7.5264e-05
4635,2.9184e-05
4651,5.9648e-05
4664,4.1728e-05
4666,8.704e-05
4679,7.936e-06
4694,5.8368e-05
4717,3.072e-06
4720,7.936e-06
4722,6.5024e-05
4758,5.4016e-05
4766,4.1728e-05
4770,6.0416e-05
4790,8.192e-06
4827,2.9184e-05
4838,4.864e-06
4846,9.728e-06
4857,7.936e-06
4864,0.000137728
4877,5.2736e-05
4896,6.912e-06
4923,7.168e-06
4924,4.8128e-05
4940,8.192e-06
4943,1.024e-06
4956,1.7664e-05
4971,5.12e-07
4987,5.632e-06
4993,1.4592e-05
5013,2.304e-06
5015,2.6368e-05
5040,7.7312e-05
5069,2.56e-07
5075,7.68e-06
5092,5.4528e-05
5106,1.6384e-05
5108,5.12e-07
