CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS
54.82.58.189;39411;1760841423567813748;1760841423604716694;400000;10
54.82.58.189;39411;1760841423667810175;1760841423704665107;400001;10
54.82.58.189;39411;1760841423767808106;1760841423804639049;400002;10
54.82.58.189;39411;1760841423867801727;1760841423904651150;400003;10
54.82.58.189;39411;1760841423967796258;1760841424004654374;400004;10
54.82.58.189;39411;1760841424067808883;1760841424104657939;400005;10
54.82.58.189;39411;1760841424167811044;1760841424204692419;400006;10
54.82.58.189;39411;1760841424267810155;1760841424304646062;400007;10
54.82.58.189;39411;1760841424367801258;1760841424404658586;400008;10
54.82.58.189;39411;1760841424467798139;1760841424504644673;400009;10
54.82.58.189;39411;1760841424567800572;1760841424604662233;400010;10
54.82.58.189;39411;1760841424667803201;1760841424704658794;400011;10
54.82.58.189;39411;1760841424767801777;1760841424804645555;400012;10
54.82.58.189;39411;1760841424867804768;1760841424904648517;400013;10
54.82.58.189;39411;1760841424967814102;1760841425004691870;400014;10
54.82.58.189;39411;1760841425067806561;1760841425104660513;400015;10
54.82.58.189;39411;1760841425167811019;1760841425204653900;400016;10
54.82.58.189;39411;1760841425267820426;1760841425304662886;400017;10
54.82.58.189;39411;1760841425367805875;1760841425404647017;400018;10
54.82.58.189;39411;1760841425467804016;1760841425504657799;400019;10
54.82.58.189;39411;1760841425567809591;1760841425604657477;400020;10
54.82.58.189;39411;1760841425667810308;1760841425704715537;400021;10
54.82.58.189;39411;1760841425767805413;1760841425804653777;400022;10
54.82.58.189;39411;1760841425867809027;1760841425904663672;400023;10
54.82.58.189;39411;1760841425967820299;1760841426004664894;400024;10
54.82.58.189;39411;1760841426067807145;1760841426104664365;400025;10
54.82.58.189;39411;1760841426167804281;1760841426204669314;400026;10
54.82.58.189;39411;1760841426267813300;1760841426304651868;400027;10
54.82.58.189;39411;1760841426367815195;1760841426404664012;400028;10
54.82.58.189;39411;1760841426467806402;1760841426504650948;400029;10
54.82.58.189;39411;1760841426567809207;1760841426604646880;400030;10
54.82.58.189;39411;1760841426667796291;1760841426704635540;400031;10
54.82.58.189;39411;1760841426767800725;1760841426804649280;400032;10
54.82.58.189;39411;1760841426867809845;1760841426904672708;400033;10
54.82.58.189;39411;1760841426967801372;1760841427004656430;400034;10
54.82.58.189;39411;1760841427067821814;1760841427104669945;400035;10
54.82.58.189;39411;1760841427167804948;1760841427204643782;400036;10
54.82.58.189;39411;1760841427267802131;1760841427304663315;400037;10
54.82.58.189;39411;1760841427367802527;1760841427404644588;400038;10
